"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","arena1","arena2","ascv","c_b_cys","ce_sha","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","ku_thy","lo_sal","mo_vis","my_arc","my_ins","na_sal","ne_per","nu_sal","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","pisck_sal","prv","pspv","re_sal","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","ver","vhsv","vi_sal","ye_ruc","season2","Date2","jd","ocean_yr","jd2","mo_yr","fl","ref_date","day","SST","temp_devs","jaz"
"11","1000-0026-118-7865",0,"HS","SW",2011,"6/24/11",175,1011,"Upper Barrier","North Thompson","Thompson","Thompson","Thompson","Summer",148,30,0.925414092,-3.033663891,"M","Northern","ECVI",51.909,-128.595,"Mixed","NO","AvgCopy",103.3994109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,10.50355067,362.097548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-24 03:00:00,"175",2011,"175","2011-06",148,"2011-06",24,12.430088657803,0.18230669410141,"NTh+GStr"
"12","1000-0020-118-2454",0,"HS","SW",2009,"6/25/09",176,282,"Gates Cr","Gates","Middle Fraser","Middle Fraser","Fraser","Summer",181,65,1.096169293,-2.960122368,"","Northern","Northern",53.227,-130.951,"Mixed","NO","AvgCopy",13166.93182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,104.9827608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2009-06-25 03:00:00,"176",2009,"176","2009-06",181,"2009-06",25,11.5702343177795,0.00975570201874376,"MFR+GStr"
"13","1000-0020-118-2456",0,"HS","SW",2009,"6/25/09",176,282,"Scotch","Scotch","Thompson","Thompson","Thompson","Summer",175,57,1.063556851,-2.97323929,"","Northern","Northern",53.227,-130.951,"Mixed","NO","AvgCopy",2.303186958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1546499.416,0,0,0,NA,0,13834.39419,20.33395903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2009-06-25 03:00:00,"176",2009,"176","2009-06",175,"2009-06",25,11.5702343177795,0.00975570201874376,"STh+GStr"
"14","1000-0023-118-5889",0,"HS","SW",2010,"6/25/10",176,647,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",122,19,1.046343086,-2.980325891,"M","Northern","Northern",52.33,-129.697,"Mixed","NO","AvgCopy",3.52e-06,0,0,0,603.4303625,0,0,0,0,0,0,0,0,0,0,0,0,NA,254639.2022,0,0,0,NA,0,0,0,486.4945359,0,0,0,285.3421161,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-25 03:00:00,"176",2010,"176","2010-06",122,"2010-06",25,11.1451477050781,-0.715270296732585,"MFR+GStr"
"15","1000-0023-118-5888",0,"HS","SW",2010,"6/25/10",176,647,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",142,27,0.942971856,-3.025501269,"F","Northern","Northern",52.33,-129.697,"Mixed","NO","AvgCopy",1.614513145,0,0,0,10.07258929,0,0,0,0,0,0,0,0,0,0,0,0,NA,63441.61448,0,0,0,NA,0,89.1311504,228.4205287,0,0,0,0,22.88583585,0,5.515751251,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-25 03:00:00,"176",2010,"176","2010-06",142,"2010-06",25,11.1451477050781,-0.715270296732585,"MFR+GStr"
"16","1000-0023-118-5887",0,"HS","SW",2010,"6/25/10",176,647,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",162,40,0.940838212,-3.026485052,"M","Northern","Northern",52.33,-129.697,"Mixed","NO","AvgCopy",1.11e-08,0,0,0,3931.519728,0,0,0,0,0,0,0,2.575934333,0,0,0,0,NA,36511.22638,0,0,0,NA,0,157317.5176,0,0,0,0,0,107.3066302,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-25 03:00:00,"176",2010,"176","2010-06",162,"2010-06",25,11.1451477050781,-0.715270296732585,"MFR+GStr"
"17","1000-0023-118-5886",0,"HS","SW",2010,"6/25/10",176,647,"Stellako","Stellako","Upper Fraser","Upper Fraser","Fraser","Summer",148,32,0.987108365,-3.005635168,"M","Northern","Northern",52.33,-129.697,"Mixed","NO","AvgCopy",1.1e-18,0,0,0,86.36948422,0,0,0,0,0,0,0,0,0,0,0,0,NA,71.67344088,0,0,0,NA,0,7.521431479,153.3926944,201.8452618,0,0,0,15.19429221,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-25 03:00:00,"176",2010,"176","2010-06",148,"2010-06",25,11.1451477050781,-0.715270296732585,"MFR+GStr"
"18","1000-0026-118-7872",0,"HS","SW",2011,"6/25/11",176,1012,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",148,30,0.925414092,-3.033663891,"F","Northern","ECVI",52.262,-129.44,"Mixed","NO","AvgCopy",1.91e+72,0,0,0,7.884081532,0,0,0,0,0,0,0,0,0,0,0,0,NA,203538.732,0,0,0,NA,0,397.0470176,0,0.463755108,0,0,0,0,0,0,0,0,0,472.6811927,0,0,0,0,0,0,NA,"SpSu",2011-06-25 03:00:00,"176",2011,"176","2011-06",148,"2011-06",25,11.8284001668294,-0.105665863884816,"MFR+GStr"
"19","1000-0026-118-7873",0,"HS","SW",2011,"6/25/11",176,1012,"Harrison","Harrison-Widgeon","Harrison-Widgeon","Harrison-Widgeon","Harrison-Widgeon","Summer",136,24,0.954101364,-3.020405483,"F","Northern","ECVI",52.262,-129.44,"Mixed","NO","AvgCopy",7.65e+39,0,306.7204395,0,10.66282842,0,0,0,0,0,0.049292913,0,0,0,0,0,0,NA,8.67399458,0,0,0,NA,0,29690.96895,0,6.012819428,0,0,0,0,0,4.574279132,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-25 03:00:00,"176",2011,"176","2011-06",136,"2011-06",25,11.8284001668294,-0.105665863884816,"LFR+GStr"
"20","1000-0026-118-7871",0,"HS","SW",2011,"6/25/11",176,1012,"Upper Barrier","North Thompson","Thompson","Thompson","Thompson","Summer",137,24,0.933360764,-3.02995046,"M","Northern","ECVI",52.262,-129.44,"Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-25 03:00:00,"176",2011,"176","2011-06",137,"2011-06",25,11.8284001668294,-0.105665863884816,"NTh+GStr"
"21","1000-0023-118-5902",0,"HS","SW",2010,"6/26/10",177,648,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",169,47,0.973728192,-3.011562256,"M","Northern","Northern",53.486,-131.005,"Mixed","NO","AvgCopy",7.531745312,0,NA,0,292.0209744,0,0,0,0,360.4993301,0.029629608,0,0,0,0,0,0,NA,1568074.895,0,0,0,NA,0,8.386626626,506.2754302,123.6224906,0,0,0,638.0192187,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-26 03:00:00,"177",2010,"177","2010-06",169,"2010-06",26,10.8964756011963,-0.554962952931726,"MFR+GStr"
"22","1000-0023-118-5899",0,"HS","SW",2010,"6/26/10",177,648,"Chilliw lake","Chilliwack","Lower Fraser","Lower Fraser","Fraser","Summer",168,50,1.054489256,-2.976957841,"M","Northern","Northern",53.486,-131.005,"Mixed","NO","AvgCopy",178.9637913,0,0,0,3.023017834,0,0,0,0,0,0,0,352.533073,0,0,0,0,NA,2.080065699,0,0,0,NA,0,11369.3495,0,5.822734447,0,0,0,18.34962256,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-26 03:00:00,"177",2010,"177","2010-06",168,"2010-06",26,10.8964756011963,-0.554962952931726,"LFR+GStr"
"23","1000-0023-118-5900",0,"HS","SW",2010,"6/26/10",177,648,"Upper Barrier","North Thompson","Thompson","Thompson","Thompson","Summer",157,37,0.956098786,-3.019497233,"M","Northern","Northern",53.486,-131.005,"Mixed","NO","AvgCopy",0.737757517,0,0,0,12426.83419,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,16943.77293,0,348.5861227,0,0,0,4.566720681,0,0,4.590619161,0,0,0,0,0,0.782532348,0,0,0,NA,"SpSu",2010-06-26 03:00:00,"177",2010,"177","2010-06",157,"2010-06",26,10.8964756011963,-0.554962952931726,"NTh+GStr"
"24","1000-0023-118-5897",0,"HS","SW",2010,"6/26/10",177,648,"Stellako","Stellako","Upper Fraser","Upper Fraser","Fraser","Summer",154,35,0.958309695,-3.018494118,"M","Northern","Northern",53.355,-131.063,"Mixed","NO","AvgCopy",2847.114071,0,0,0,144.0209054,0,0,0,0,136.4271143,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,49.99501552,50.27420472,522.5028598,0,0,0,27.93514441,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-26 03:00:00,"177",2010,"177","2010-06",154,"2010-06",26,10.8880813598633,-0.597643733024594,"MFR+GStr"
"25","1000-0023-118-5898",0,"HS","SW",2010,"6/26/10",177,648,"Stellako","Stellako","Upper Fraser","Upper Fraser","Fraser","Summer",172,50,0.982617883,-3.007615336,"M","Northern","Northern",53.486,-131.005,"Mixed","NO","AvgCopy",0.175547385,0,0,0,7080.056213,0,0,0,0,0,0,0,0,0,0,0,0,NA,7631.662688,0,0,0,NA,0,1112.805111,19.78916279,50.56941257,0,0,0,4.127511046,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2010-06-26 03:00:00,"177",2010,"177","2010-06",172,"2010-06",26,10.8964756011963,-0.554962952931726,"MFR+GStr"
"26","1000-0026-118-7883",0,"HS","SW",2011,"6/26/11",177,1013,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",146,29,0.931835884,-3.030660569,"M","Northern","Northern",52.89,-129.913,"Mixed","NO","AvgCopy",5.94e-22,0,0,0,50360.04262,0,0,0,0,0,0,0,0,0,0,0,0,NA,16813.2565,0,0,0,NA,0,0,0,0,0,0,0,1998.829107,0,0,0,0,0,0,0,0,2.090319562,0,0,0,NA,"SpSu",2011-06-26 03:00:00,"177",2011,"177","2011-06",146,"2011-06",26,11.7709964752197,0.145531527201333,"MFR+GStr"
"27","1000-0026-118-7879",0,"HS","SW",2011,"6/26/11",177,1013,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",150,34,1.007407407,-2.99679486,"M","Northern","Northern",52.877,-130.132,"Mixed","NO","AvgCopy",4.16e-05,0,0,0,53214.11507,0,0,0,0,0,0,0,0,0,0,0,0,NA,5.332122346,0,0,0,NA,0,0,12.60173253,0,0,0,0,1306.410316,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-26 03:00:00,"177",2011,"177","2011-06",150,"2011-06",26,11.8389488983154,0.111278053919479,"MFR+GStr"
"28","1000-0026-118-7891",0,"HS","SW",2011,"6/26/11",177,1013,"Chilko","Chilko","Middle Fraser","Middle Fraser","Fraser","Summer",160,43,1.049804688,-2.978891492,"M","Northern","Northern",53.125,-130.203,"Mixed","NO","AvgCopy",4.17e+79,0,NA,0,91229.6455,0,0,0,0,0,0,0,53.45197272,0,0,0,0,NA,20509.56413,0,0,0,NA,0,0,0,0.583330581,0,0,0,1120.369308,0,0,0,0,16.62359046,0,0,0,0,0,0,0,NA,"SpSu",2011-06-26 03:00:00,"177",2011,"177","2011-06",160,"2011-06",26,11.5569856643677,0.165915131568909,"MFR+GStr"
"29","1000-0026-118-7885",0,"HS","SW",2011,"6/26/11",177,1013,"Gates Cr","Gates","Middle Fraser","Middle Fraser","Fraser","Summer",163,43,0.992900301,-3.003094358,"M","Northern","Northern",52.89,-129.913,"Mixed","NO","AvgCopy",6.52e+29,0,0,0,53.43240534,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,191.71785,0,0,0,37.59795528,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-26 03:00:00,"177",2011,"177","2011-06",163,"2011-06",26,11.7709964752197,0.145531527201333,"MFR+GStr"
"30","1000-0026-118-7894",0,"HS","SW",2011,"6/26/11",177,1013,"Thompson N","North Thompson","Thompson","Thompson","Thompson","Summer",148,33,1.017955501,-2.992271206,"F","Northern","Northern",53.125,-130.203,"Mixed","NO","AvgCopy",9.16e+27,0,0,0,716.8980196,0,0,0,0,0,0,0,0,0,0,0,0.099204155,NA,0,0,0,0,NA,0,0,2.679825465,0,0,0,0,0,0,0,0.524331737,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-26 03:00:00,"177",2011,"177","2011-06",148,"2011-06",26,11.5569856643677,0.165915131568909,"LTh+GStr"
"31","1000-0026-118-7878",0,"HS","SW",2011,"6/26/11",177,1013,"Pitt","Pitt","Lower Fraser","Lower Fraser","Fraser","Summer",157,41,1.059460817,-2.974915101,"M","Northern","Northern",52.877,-130.132,"Mixed","NO","AvgCopy",2.21e+66,0,0,0,50.62156843,23.01431696,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,24.81054425,0,0.013498563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-26 03:00:00,"177",2011,"177","2011-06",157,"2011-06",26,11.8389488983154,0.111278053919479,"LFR+GStr"
"32","1000-0026-118-7881",0,"HS","SW",2011,"6/26/11",177,1013,"Stellako","Stellako","Upper Fraser","Upper Fraser","Fraser","Summer",150,38,1.125925926,-2.948490181,"M","Northern","Northern",52.877,-130.132,"Mixed","NO","AvgCopy",2991.617309,0,96.05752644,0,328.7139014,0,0,0,0,0,0,0,0,0,0,0,0,NA,256.8481644,0,0,0,NA,0,0,2.016968477,24.75977982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"SpSu",2011-06-26 03:00:00,"177",2011,"177","2011-06",150,"2011-06",26,11.8389488983154,0.111278053919479,"MFR+GStr"
"33","1000-0029-118-B0519",NA,"HS","SW",2012,"6/25/12",177,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Summer",125,23,NA,NA,"M","Northern","Northern",52.947,-128.99,"Liver","","AvgCopy",3.09e+45,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,4.903630534,NA,0,NA,0,0,7.401599846,0,0,0,0,0,875.8698518,0,0,39.19624218,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",125,"2012-06",25,10.9382369995117,-0.91054309209188,"MFR+GStr"
"34","1000-0029-118-B0516",NA,"HS","SW",2012,"6/25/12",177,NA,"L Adams","Late Shuswap","South Thompson","Thompson","Fraser","Summer",113,14,NA,NA,"M","Northern","ECVI",51.736,-128.447,"Liver","","AvgCopy",1.08e+21,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,2.946411012,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",113,"2012-06",25,11.6372554016113,-0.652607329686489,"STh+GStr"
"35","1000-0029-118-B0512",NA,"HS","SW",2012,"6/25/12",177,NA,"L Adams","Late Shuswap","South Thompson","Thompson","Fraser","Summer",115,15,NA,NA,"M","Northern","ECVI",51.736,-128.447,"Liver","","AvgCopy",2.78e+41,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,28.13315494,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",115,"2012-06",25,11.6372554016113,-0.652607329686489,"STh+GStr"
"36","1000-0029-118-B0520",NA,"HS","SW",2012,"6/25/12",177,NA,"L Adams","Late Shuswap","South Thompson","Thompson","Fraser","Summer",137,23,NA,NA,"M","Northern","Northern",52.947,-128.99,"Liver","","AvgCopy",2.29e+28,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0.024479442,62.3597114,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",137,"2012-06",25,10.9382369995117,-0.91054309209188,"STh+GStr"
"37","1000-0029-118-B0514",NA,"HS","SW",2012,"6/25/12",177,NA,"L Shuswap","Late Shuswap","South Thompson","Thompson","Fraser","Summer",122,16,NA,NA,"M","Northern","ECVI",51.736,-128.447,"Liver","","AvgCopy",1.46e+51,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,NA,NA,0,NA,0,NA,0,96.89548543,21.760814,0,4563.148907,0,0,0,24.42555033,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",122,"2012-06",25,11.6372554016113,-0.652607329686489,"STh+GStr"
"38","1000-0029-118-B0515",NA,"HS","SW",2012,"6/25/12",177,NA,"L Shuswap","Late Shuswap","South Thompson","Thompson","Fraser","Summer",124,17,NA,NA,"M","Northern","ECVI",51.736,-128.447,"Liver","","AvgCopy",1.23e+50,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,1.000037463,0,0,0,0,NA,0,NA,0,NA,0,0,5.924007009,0,0,0,0,0,0,0,0,1913.382313,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",124,"2012-06",25,11.6372554016113,-0.652607329686489,"STh+GStr"
"39","1000-0029-118-B0513",NA,"HS","SW",2012,"6/25/12",177,NA,"M Horsefly","Quesnel","Upper Middle Fraser","Middle Fraser","Fraser","Summer",132,21,NA,NA,"M","Northern","ECVI",51.736,-128.447,"Liver","","AvgCopy",1.14e+41,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,6.638806381,0,29.6771945,0,0,0,6637.711173,0,0,0,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",132,"2012-06",25,11.6372554016113,-0.652607329686489,"MFR+GStr"
"40","1000-0029-118-B0521",NA,"HS","SW",2012,"6/25/12",177,NA,"Mitchell","Quesnel","Upper Middle Fraser","Middle Fraser","Fraser","Summer",138,26,NA,NA,"M","Northern","Northern",52.947,-128.99,"Liver","","AvgCopy",5.74e+47,NA,NA,NA,NA,0,NA,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,16.36250363,0,0,0,0,0,0,0,0,144.4092766,NA,0,0,NA,NA,0,0,0,0,0,"SpSu",2012-06-25 03:00:00,"177",2012,"177","2012-06",138,"2012-06",25,10.9382369995117,-0.91054309209188,"MFR+GStr"
"41","1000-0017-118-0385",NA,"HS","SW",2008,"6/26/08",178,NA,"Chilko","Chilko","Middle Middle Fraser","Middle Fraser","Fraser","Summer",117,15,NA,NA,"M","Northern","Northern",52.319,-129.705,"Gill","","AvgCopy",1.49e-09,NA,NA,NA,31084.27071,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0.231302053,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,NA,"SpSu",2008-06-26 03:00:00,"178",2008,"178","2008-06",117,"2008-06",26,9.88206033706665,-1.98328142166138,"MFR+GStr"
"42","1000-0017-118-0386",NA,"HS","SW",2008,"6/26/08",178,NA,"Scotch","Scotch","South Thompson","Thompson","Fraser","Summer",123,16,NA,NA,"F","Northern","Northern",52.319,-129.705,"Gill","","AvgCopy",1.46e-12,NA,NA,NA,624.9252205,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,43.50494964,0,0,0,0,0,0,1366.655558,1445.400085,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,0,NA,"SpSu",2008-06-26 03:00:00,"178",2008,"178","2008-06",123,"2008-06",26,9.88206033706665,-1.98328142166138,"STh+GStr"
