"","ID","Longitude","Latitude","X","Y","start_loc1","Phillips Arm","Lees Bay","Cliff Bay","Conville Bay","Dunsterville","Port Elizabeth","Larsen Island","Okisollo","Yellow Island","Vantage","St Vincent Bay","Glacial Creek","Raza Island","Venture Point","Salten","Bickley Bay","Thurlow","Sonora Point","Brougham Point","Kunechin","Site 9","Doctor Bay","Cypress Harbour","Swanson","Arrow Pass","Midsummer","Read Island","Frederick Arm","Newcomb","Hardy Bay","Sir Edmund Bay","Cyrus Rock","Upper Retreat","Site 13","Young Pass","Chancellor Channel","Cecil Island","Wicklow Point","Glacier Falls","Shelter Pass","Maude Island","Barnes Bay","Lochalsh Bay","Bell Island","Sargeaunt Pass","Shaw Point","Burdwood","Potts Bay","Far Side","Egerton Creek","Raynor","Doyle Island","Duncan Island","Althorpe","Wehlis Bay","Simmonds Point","Shelter Bay","Marsh Bay","Robertson","Brent Island","Jackson Passage","Hardwicke","Doctor Islets","Humphrey Rock","Kid Bay","Culloden","Ahlstrom","Goat Cove","Noo-la","Wa-kwa","Sheep Passage","Lime Point","Ghi ya","Wanx talis","Tsa-ya","Cougar","Alexander","Jackson Pass","Middle Point","Conville Point"
"12","samp_loc11",-132.792,53.24,-132.792,53.24,833817.069347634,626898.372181733,600635.579479991,530042.759499787,652603.97258423,656518.110327673,538620.702480344,528603.35638696,631358.969724026,643472.766445071,769479.047013242,751749.845708106,784169.880824802,654421.088502783,629658.999787366,776004.735970076,622483.282048776,629901.823850915,631357.152635133,625028.880940441,777554.747526697,781995.384794213,675092.813958016,518667.650307754,523252.792334734,521336.267948073,523846.559099959,655537.13944729,632080.768414492,781629.05854947,471544.340262784,524018.624862701,642405.277288893,527045.74781017,774439.586646026,627091.553996716,603263.491810543,515215.450982831,517877.215613465,544383.309123495,459780.382041723,512352.463906409,635585.928585162,376084.7328618,461269.965471329,556444.515402176,586315.862266146,531706.081170422,527105.832837905,630731.319595809,632099.77322289,475072.362117109,464343.328955105,460205.619260857,591586.433451919,501874.028623447,504057.680906344,458689.411068693,468673.022185438,462343.341932146,628798.853319523,373235.639162609,595687.798833246,548817.173494253,555053.958036115,400260.261837762,745927.132206947,741710.822389035,398321.554013678,548670.051371466,549203.449212449,406151.319960406,404939.632699634,432123.125066571,435110.035528726,548320.699218902,391116.322731661,386518.898422141,373373.560665226,647966.444447761,651601.490560132
"13","samp_loc12",-127.958,51.017,-127.958,51.017,409397.155931454,202478.458765554,176215.666063812,106237.975793437,228184.059168051,232098.196911493,114462.93010745,104200.492679063,206939.056307846,219052.853028892,345059.133597062,327329.932291927,359749.967408623,230001.175086603,205239.086371187,351584.822553897,198063.368632597,205481.910434735,206937.239218954,200608.967524261,353134.834110518,357575.471378033,250672.900541836,94862.8666014044,98845.709083872,97434.2087034201,99589.0254546435,231117.226031111,207660.854998313,357209.14513329,48047.8856094197,100213.841156351,217985.363872713,103239.674826373,350019.673229846,202671.640580536,178843.578394364,91410.6672764808,94072.4319071152,120578.525417145,35390.6396087117,88547.6802000589,211166.015168983,180858.827388661,36980.8281190059,132639.731695826,161895.948849967,107901.297464072,102872.590340435,206311.40617963,207679.85980671,51405.5862862929,40055.0035803485,35917.2938861,167166.52003574,78069.2449170969,80252.897199994,35799.7599304333,44988.5221882747,38788.8061239594,204378.939903344,178009.733689469,171267.885417067,125012.389787903,131249.174329765,205163.296701398,321507.218790767,317290.908972855,203224.588877314,124309.875648164,125045.676839555,211054.354824042,209842.66756327,16137.5713350096,14766.1921138954,124162.926846008,196019.357595297,191421.933285777,178147.655192087,223546.531031582,227181.577143953
"14","samp_loc13",-127.533,50.853,-127.533,50.853,374545.635826196,167626.938660295,141364.145958553,72977.1907265448,193332.539062792,197246.676806235,80098.4029960972,69433.2240784313,172087.536202588,184201.332923633,310207.613491804,292478.412186668,324898.447303364,195149.654981345,170387.566265928,316733.302448638,163211.848527338,170630.390329477,172085.719113695,165757.447419003,318283.314005259,322723.951272775,215821.380436578,61602.0815345125,64074.5528788199,63462.5480073558,65119.0107628909,196265.705925852,172809.334893054,322357.625028032,14501.9791085563,66953.0560894594,183133.843767455,69589.2785592309,315168.153124588,167820.120475278,143992.058289106,58149.882209589,60595.484340223,87317.7403502527,4155.38371118816,55286.895133167,176314.495063724,208984.718500806,2451.1192391635,99083.3589661691,127044.428744709,74424.3498971797,68424.2944502908,171459.886074371,172828.339701452,20153.1524349694,5366.2967649948,4054.74623019929,132314.999930482,44808.459850205,46992.1121331021,13662.7515914305,14638.8257840809,11692.702202216,169527.419798085,206135.624801615,136416.365311809,91456.0170582464,97692.8016001086,233289.187813543,286655.698685509,282439.388867597,231350.479989459,89622.5202534118,90364.9586474999,239180.245936188,237968.558675416,29422.6787166076,26563.2449017944,89798.3997346547,224145.248707442,219547.824397923,206273.546304232,188695.010926323,192330.057038694
"15","samp_loc14",-127.281,50.702,-127.281,50.702,351657.057990494,144738.360824593,118475.568122851,58561.2289901527,170443.961227091,174358.098970533,58992.9856739397,47474.1168147476,149198.958366886,161312.755087932,287319.035656102,269589.834350967,302009.869467663,172261.077145643,147498.988430227,293844.724612937,140323.270691637,147741.812493775,149197.141277994,142868.869583301,295394.736169558,299835.373437073,192932.802600876,47186.1197981205,42115.4456151362,43734.8430597345,43956.606975082,173377.128090151,149920.757057353,299469.04719233,13522.2736339554,52537.0943530673,160245.265931753,50420.7074676583,292279.575288886,144931.542639576,121103.480453404,43735.0818808883,42779.0826941794,70252.7617284232,25492.4085158353,40872.2124563205,153425.917228023,232554.407577326,22274.3398590817,78375.1997360204,104155.850909007,56583.2914826594,47217.2879311422,148571.30823867,149939.76186575,21283.3087126061,19184.2629258111,23376.7479585987,109426.42209478,31035.1881945379,33218.840477435,31789.7224789427,23066.7563094224,27416.2847337549,146638.841962384,229705.313878135,113527.787476107,70747.8578775717,76984.6423699599,256858.876890064,263767.120849807,259550.811031895,254920.16906598,67703.3193518456,68445.7577459337,262749.935012708,261538.247751936,51195.6276790354,48360.3214018585,68692.9824124971,247714.937783963,243117.513474443,229843.235380753,165806.433090622,169441.479202993
"16","samp_loc15",-126.953,50.737,-126.953,50.737,333212.42117269,126293.724006789,100030.931305047,35169.8200465857,151999.324409286,155913.462152729,37230.7201274392,27178.202032422,130754.321549082,142868.118270127,268874.398838298,251145.197533162,283565.232649858,153816.440327839,129054.351612422,275400.087795132,121878.633873832,129297.175675971,130752.504460189,124424.232765496,276950.099351753,281390.736619269,174488.165783072,28409.1157523138,21935.0000499575,20771.4571433457,22302.8979482157,154932.491272346,131476.120239548,281024.410374526,35362.4260537089,33760.0903072606,141800.629113949,27228.25222624,273834.938471082,126486.905821772,102658.843635599,24958.0778350816,19307.3598023076,46765.6821877069,41910.9090241618,22095.2084105138,134981.280410218,245686.648135364,41409.6928051024,56612.9341895199,85711.2140912024,33096.2119419431,25593.7995960115,130126.671420865,131495.125047946,27352.1795909699,38640.0477628044,43487.3992632837,90981.7852769754,14288.8479641995,16089.8388640252,43942.000323232,33241.1747216316,39531.4063949137,128194.205144579,242837.554436172,95083.1506583025,48985.5923310712,55222.3768234594,269991.117448101,245322.484032003,241106.17421409,268052.409624017,47093.8167125799,47813.4668595438,275882.175570745,274670.488309973,71735.2158360888,68875.7820212756,46930.7168659967,260847.178342,256249.75403248,242975.47593879,147361.796272817,150996.842385188
"17","samp_loc16",-128.991,50.932,-128.991,50.932,476290.023287973,269371.326122072,243108.53342033,176051.277905856,295076.92652457,298991.064268012,182576.088032339,171497.96137012,273831.923664365,285945.720385411,411952.000953581,394222.799648446,426642.834765142,296894.042443122,272131.953727705,418477.689910416,264956.235989115,272374.777791254,273830.106575472,267501.83488078,420027.701467036,424468.338734552,317565.767898355,164676.168713823,166139.290170509,166203.121387814,167541.684042784,298010.09338763,274553.722354831,424102.012489809,113023.04076661,170027.14326877,284878.231229232,172444.34588511,416912.540586365,269564.507937055,245736.445750883,161223.9693889,163555.016191808,190391.827529564,105594.251148143,158360.982312478,278058.882525501,188460.693014434,104156.41460078,201958.302094419,228788.816206486,177383.881748765,170850.658562532,273204.273536148,274572.727163229,122521.940905741,106850.456764921,102014.967919598,234059.387392259,147882.547029516,150066.199312413,108024.933252627,116142.975768344,110288.74988706,271271.807259862,185611.599315243,238160.752773586,194330.960235971,200567.744728359,212664.477841058,388400.086147286,384183.776329374,210725.770016974,191727.163907218,192469.602301306,218555.535963702,217343.84870293,74200.7037117632,77232.9309296951,192276.084770896,203520.538734957,198923.114425437,185749.52081786,290439.3983881,294074.444500472
"18","samp_loc17",-128.727,51.072,-128.727,51.072,461395.88271027,254477.185544369,228214.392842627,159893.533659789,280182.785946866,284096.923690309,167560.951904686,156549.686219559,258937.783086662,271051.579807707,397057.860375878,379328.659070742,411748.694187438,281999.901865419,257237.813150002,403583.549332712,250062.095411412,257480.637213551,258935.965997769,252607.694303077,405133.560889333,409574.198156849,302671.627320652,148518.424467756,151191.015019947,150816.271053751,152532.244168578,283115.952809926,259659.581777128,409207.871912106,98128.9001889073,153869.399022703,269984.090651529,156796.946794787,402018.400008662,254670.367359352,230842.30517318,145066.225142833,147692.85002846,174234.083283496,88642.7178608039,142203.238066411,263164.741947798,170069.544986609,89123.90676414,186260.14981717,213894.675628783,161521.715585416,155841.601380062,258310.132958445,259678.586585526,105376.167103933,91820.1473835562,87002.0054919499,219165.246814556,131724.802783449,133908.455066346,90059.0760393794,98963.4044114356,92886.0340134272,256377.666682159,167220.451287418,223266.612195883,178632.807909248,184869.59245111,194350.837811487,373505.945569583,369289.635751671,192412.129987402,176778.888756657,177521.327150745,200241.895934131,199030.208673359,58746.4111259584,61733.3215881139,177260.948643244,185206.898705386,180609.474395866,167358.372790036,275545.257810397,279180.303922768
"19","samp_loc18",-128.336,51.278,-128.336,51.278,446933.015233938,240014.318068038,213751.525366296,142356.437760841,265719.918470535,269634.056213978,150953.119669076,141383.037194282,244474.915610331,256588.712331376,382594.992899547,364865.791594411,397285.826711107,267537.034389088,242774.945673671,389120.681856381,235599.227935081,243017.76973722,244473.098521438,238144.826826745,390670.693413002,395111.330680518,288208.759844321,130981.328568808,136095.497989744,133653.522066966,136277.070443617,268653.085333595,245196.714300797,394745.004435775,86936.6031571084,136332.303123755,255521.223175197,139359.426071224,387555.53253233,240207.499883021,216379.437696848,127529.129243885,130190.893874519,156696.987384548,73133.3089974208,124666.142167463,248701.874471467,146965.663845088,75669.65435149,168758.19366323,199431.808152451,144019.759431476,139498.915664021,243847.265482114,245215.719109195,87377.8566782651,78759.197935954,74805.5382412378,204702.379338224,114187.706884501,116371.359167398,70827.7162098678,81002.025266355,74687.8263503891,241914.799205828,144116.570145897,208803.744719551,161130.851755307,167367.636297169,171270.133157826,359043.078093252,354826.768275339,169331.425333742,161248.468350904,161535.866401181,177161.19128047,175949.504019698,51696.4457831281,53780.5889802367,160653.116407634,162126.194051725,157528.769742205,144254.491648515,261082.390334066,264717.436446437
"20","samp_loc19",-129.697,52.33,-129.697,52.33,593741.088991226,386822.391825325,360559.599123583,288884.685392621,412527.992227823,416442.129971265,297481.367300857,287959.722167783,391282.989367618,403396.786088664,529403.066656834,511673.865351699,544093.900468395,414345.108146375,389583.019430959,535928.755613669,382407.301692369,389825.843494507,391281.172278725,384952.900584033,537478.76717029,541919.404437805,435016.833601608,277509.576200589,282709.912476922,280181.769698747,282805.318075398,415461.159090883,392004.788058085,541553.078193062,236385.475233124,282860.550755536,402329.296932485,285887.673703004,534363.606289618,387015.573640308,363187.511454136,274057.376875665,276719.141506299,303225.235016329,221419.090072305,271194.389799243,395509.948228755,103390.173492578,224750.613493189,315286.44129501,346239.881909739,290548.007063256,286027.163295801,390655.339239402,392023.792866482,233906.104310045,227805.848554645,224214.038843636,351510.453095512,260715.954516281,262899.606799178,217150.205195339,227543.174631945,221361.8944691,388722.872963116,100541.079793387,355611.818476839,307659.099387088,313895.88392895,127565.702468541,505851.151850539,501634.842032627,125626.994644457,307778.816717489,308064.114032961,133456.760591185,132245.073330413,201424.054608854,203809.324797131,307181.364039414,118421.76336244,113824.33905292,100679.001296005,407890.464091353,411525.510203725
"21","samp_loc20",-131.063,53.355,-131.063,53.355,739500.924694118,532582.227528217,506319.434826475,434644.521095512,558287.827930714,562201.965674156,443241.203003748,433719.557870674,537042.825070509,549156.621791555,675162.902359726,657433.70105459,689853.736171286,560104.943849267,535342.85513385,681688.59131656,528167.13739526,535585.679197398,537041.007981617,530712.736286924,683238.602873181,687679.240140697,580776.669304499,423269.41190348,428469.748179813,425941.605401638,428565.153778289,561220.994793774,537764.623760976,687312.913895953,382741.813916044,428620.386458427,548089.132635376,431647.509405895,680123.441992509,532775.409343199,508947.347157027,419817.212578557,422478.977209191,448985.07071922,367513.326793752,416954.225502134,541269.783931646,223427.046740729,371021.922728861,461046.276997902,491999.71761263,436307.842766148,431786.998998692,536415.174942293,537783.628569373,379665.940012937,374060.546564641,370568.886855335,497270.288798403,406475.790219173,408659.44250207,362910.033728352,373303.010334837,367123.525881702,534482.708666007,220577.953041538,501371.65417973,453418.935089979,459655.719631841,220692.453157618,651610.987553431,647394.677735518,221040.165025191,453538.65242038,453823.949735853,226573.32364191,225638.007171991,347977.813856447,350353.537771106,452941.199742306,227273.908942174,232052.434677105,220715.874544155,553650.299794245,557285.345906616
