Unique,Date,Stock_Analysis,Latitude,Longitude,arena2,pa_kab,sch,ven,pa_pse,ic_hof,ye_ruc,,,,,,,
1000-0192-118-A0159,4/23/12,Late Shuswap,50.921158,0,0.18780909,0,0,0,0,0,0,,,,,,,
1000-0177-118-A0250,5/3/12,Late Shuswap,50.874818,0,226569.0327,0,0,0,0,0,0,,,,,,,
1000-0177-118-A0243,5/3/12,Late Shuswap,50.874818,0,19.19546452,0,0,0,0,0,0,,,,,,,
1000-0177-118-A0249,5/3/12,Late Shuswap,50.874818,0,9.183110737,0,0,0,0,0,0,,,,,,,
1000-0177-118-A0233,5/3/12,Late Shuswap,50.874818,0,0.286477312,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9322,4/18/13,Late Shuswap,49.1329,0,17.09276301,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9018,4/30/13,Late Shuswap,49.1329,0,NA,0.612555392,0,0,0,0,0,,,,,,,
1000-0055-118-G5385,4/29/15,Late Shuswap,49.1329,0,12.92752983,0,0,0,0,0,0,,,,,,,
1000-0044-118-LR081,5/26/11,Late Stuart,49.1313,0,0,0,0,0,0,222.820792,0,,,,,,,
1000-0044-118-LR074,5/26/11,Late Stuart,49.1313,0,0,27.73330913,0,0,0,0,0,,,,,,,
1000-0050-118-C9047,4/30/13,North Thompson,49.1329,0,NA,0.47726851,0,0,0,0,0,,,,,,,
1000-0050-118-C9142,4/30/13,North Thompson,49.1329,0,NA,0,0.297027856,0,0,0,0,,,,,,,
1000-0055-118-G5366,4/21/15,North Thompson,49.1329,0,6.507229597,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0127,4/23/12,Pitt,50.921158,0,2408.039954,0,0,0,0,0,0,,,,,,,
1000-0118-118-A10213,5/14/13,Pitt,49.176076,0,NA,0,0,0,0,63.15436354,0,,,,,,,
1000-0118-118-A10203,5/14/13,Pitt,49.176076,0,NA,0,0,0,0,0.916374127,0,,,,,,,
1000-0118-118-A10221,5/14/13,Pitt,49.176076,0,NA,0,0,0,0,0.301053857,0,,,,,,,
1000-0190-118-A9797,5/8/13,Portage,50.667069,0,NA,84.01317349,0.033358975,0.57797523,0,0,0,,,,,,,
1000-0042-118-0191,5/22/08,Quesnel,49.1329,0,NA,0,0,0,0,0.116665544,NA,,,,,,,
1000-0048-118-0120,4/24/12,Quesnel,49.1329,0,0,0,0,0,0.910825271,0,0,,,,,,,
1000-0050-118-C9330,4/18/13,Quesnel,49.1329,0,NA,0.865497141,0,0,0,0,0,,,,,,,
1000-0050-118-C9401,4/23/13,Quesnel,49.1329,0,NA,0,0,0,0,0.387442683,0,,,,,,,
1000-0050-118-C9254,5/6/13,Quesnel,49.1329,0,NA,0,0,0,0,3.096277742,0,,,,,,,
1000-0055-118-G5384,4/29/15,Quesnel,49.1329,0,7.853917091,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9443,4/23/13,Raft,49.1329,0,0.200949388,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0109,4/23/12,Scotch,50.921158,0,5287206.569,0,0,0,0,0,0,,,,,,,
1000-0192-118-A0117,4/23/12,Scotch,50.921158,0,1080.406442,0,0,0,0,0,0,,,,,,,
1000-0047-118-A5224,5/14/12,Scotch,49.1329,0,NA,0,0,0,0,0,0.378648332,,,,,,,
1000-0044-118-LR040,5/24/11,Seymour,49.1313,0,0,0,0,0,0,337.9903124,0,,,,,,,
2011-0001-118-I3513,8/3/11,Seymour,51.235072,0,305071.2692,3.364970164,0,0,0,0,0,,,,,,,
2011-0001-118-I3514,8/3/11,Seymour,51.235072,0,1.412463852,0,0,0,0,0,0,,,,,,,
2011-0001-118-I3511,8/3/11,Seymour,51.235072,0,0.53987606,0,0,0,0,0,0,,,,,,,
2011-0001-118-I3505,8/4/11,Seymour,50.6998,0,0,0,0,0,0,0.595800367,0,,,,,,,
2011-0001-118-I3485,8/4/11,Seymour,50.892709,0,0.587870393,0,0,0,0,0,NA,,,,,,,
2011-0001-118-I3493,8/4/11,Seymour,50.6998,0,0,0,0,0,0.117614152,0,0,,,,,,,
1000-0192-118-A0139,4/23/12,Seymour,50.921158,0,38.9809344,0,0,0,0,0,0,,,,,,,
1000-0177-118-A0239,5/3/12,Seymour,50.874818,0,152.7153278,0,0,0,0,0,0,,,,,,,
1000-0177-118-A0237,5/3/12,Seymour,50.874818,0,1.011911424,0,0,0,0,0,0,,,,,,,
1000-0177-118-A0245,5/3/12,Seymour,50.874818,0,0.609503284,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9244,5/7/13,Stellako,49.1329,0,0.165217669,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9248,5/9/13,Stellako,49.1329,0,73.55139773,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9202,5/9/13,Stellako,49.1329,0,0.790750293,0,0,0,0,0,0,,,,,,,
1000-0050-118-C9117,5/9/13,Stellako,49.1329,0,NA,0.696973451,0,0,0,0,0,,,,,,,
1000-0055-118-G5364,4/21/15,Stellako,49.1329,0,19494.95163,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3019,5/15/12,VI,49.336924,0,82985.86158,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3001,5/15/12,VI,49.336924,0,57976.01521,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3002,5/15/12,VI,49.336924,0,2531.948476,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3004,5/15/12,VI,49.336924,0,1783.062799,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3011,5/15/12,VI,49.336924,0,259.6039253,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3018,5/15/12,VI,49.336924,0,106.7819803,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3013,5/15/12,VI,49.336924,0,41.17697591,0,0,0,0,0,0,,,,,,,
1000-0127-118-A3015,5/15/12,VI,49.336924,0,3.508960082,0,0,5.571999083,0,0,0,,,,,,,
1000-0055-118-G5391,5/3/15,Weaver,49.1329,0,3.322921603,0,0,0,0,0,0,,,,,,,
