"","hkg_Alert","Unique","Fish","Alternate","Prog","Species","Trip","Location","SWFW","Year","Date","SEASON1","Stock","Stock_over_60Prob_calc","Condition","Histology","SmAd","HW","HatcheryWild","Set","STATION","STATION_NAME","Length","Mass","Sex","Comments","Comments2","Dissection.Comments","Gear","catch_R","Catch_Sub_region","Catch_Region","Latitude","Longitude","Unique1","Tissue","LOD","Value","arena1","arena2","ascv","c_b_cys","ce_sha","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","hkg","ic_hof","ic_mul","ihnv","ku_thy","lo_sal","mo_vis","my_arc","my_ins","na_sal","ne_per","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","pisck_sal","prv","pspv","re_sal","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","ver","vhsv","vi_sal","season2","Date2","jd","ocean_yr","jd2","mo_yr","fl","ref_date","day","SST","temp_devs"
"3622","OK","1000-0018-118-0709","709","HS200815-ISEA29-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/16/2008","Fall","Washwash","Low % Probability","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-ISEA29","ISEA29","SE ALASKA - ICY ST - THE SISTERS",190,71,"F","","","","MID-WATER TRAWL","AK","AK","AK",58.221,-135.303,"1000-0018-118-0709","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,0.156024141,0,0,0,0,0,NA,8.444664473,0,0,0,4860.144362,0,15558.79221,216.8178487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-16 03:00:00,"290",2008,"290","2008-10",190,"2008-10",16,NA,NA
"3623","OK","1000-0018-118-0711","711","HS200815-ISEA30-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/16/2008","Fall","Washwash","Low % Probability","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-ISEA30","ISEA30","SE ALASKA - ICY ST - P COUVERTON",210,94,"F","","","","MID-WATER TRAWL","AK","AK","AK",58.158,-135.034,"1000-0018-118-0711","Mixed","NO","AvgCopy",0,0,0,29.92270043,0,0,0,0,0,0,0,3.170545209,81.42505818,0,0,0,0,NA,0,0,0,0,0,4.695133596,58907.3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-16 03:00:00,"290",2008,"290","2008-10",210,"2008-10",16,NA,NA
"3624","OK","1000-0018-118-0715","715","HS200815-ISEA31-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/16/2008","Fall","Great Central","Great Central","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-ISEA31","ISEA31","CHATHAM ST - P AUGUSTA",190,74,"F","","","","MID-WATER TRAWL","AK","AK","AK",58.058,-134.844,"1000-0018-118-0715","Mixed","NO","AvgCopy",0,0.266503719,0,4539.216917,0,0,0,0,0,0,0,0.301708075,0,0,0,0,0,NA,1161380.155,0,0,0,0,0,2695.053519,676.4526556,0,0,0,2162.944056,0,0,0,0,0,0,0,0,0.573065977,0,0,0,"FaWi",2008-10-16 03:00:00,"290",2008,"290","2008-10",190,"2008-10",16,NA,NA
"3625","OK","1000-0018-118-0716","716","HS200815-ISEA31-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/16/2008","Fall","Mitchell","Mitchell","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-ISEA31","ISEA31","CHATHAM ST - P AUGUSTA",200,86,"M","","","","MID-WATER TRAWL","AK","AK","AK",58.058,-134.844,"1000-0018-118-0716","Mixed","NO","AvgCopy",0,0,0,2578.012414,0,0,0,0,0,0,0,0.082524639,0,0,0,0,0,NA,8040.583235,0,0,0,0,0,13049.60255,6.392379418,0,0,0,1.30504688,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-16 03:00:00,"290",2008,"290","2008-10",200,"2008-10",16,NA,NA
"3626","OK","1000-0018-118-0768","768","HS200815-ISEA37-118-003","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/18/2008","Fall","Woss Lake","Woss Lake","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-ISEA37","ISEA37","CLARENCE ST",205,83,"F","","","","MID-WATER TRAWL","AK","AK","AK",55.088,-131.803,"1000-0018-118-0768","Mixed","NO","AvgCopy",0,0,0,58.67808871,0,0,0,0,0,0,0,7.786840859,0,0,0,0,0,NA,0,0,0,0,0,6.099772929,203.2046848,24.75856549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-18 03:00:00,"292",2008,"292","2008-10",205,"2008-10",18,9.6305184173584,-0.453014027277632
"3627","OK","1000-0018-118-0792","792","HS200815-IBC04-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Kitlope","Kitlope","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC04","IBC04","PORTLAND IN",182,60,"M","","","","MID-WATER TRAWL","P003","NC","Northern",54.982,-130.067,"1000-0018-118-0792","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,0.001309346,0,0,0,0,0,NA,0,0,0,0,0,0,123.3802072,905.1189282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",182,"2008-10",19,9.34426216125488,-0.187925427754724
"3628","OK","1000-0018-118-0794","794","HS200815-IBC05-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Great Central","Great Central","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC05","IBC05","PORTLAND IN",186,67,"F","WORMS","","","MID-WATER TRAWL","P003","NC","Northern",54.857,-130.211,"1000-0018-118-0794","Mixed","NO","AvgCopy",0,0,0,7590.595601,0,0,0,0,0,0,0,0.000774679,0,0,0,0,0,NA,19.41183893,0,0,0,0,0,186.4124579,1316.437759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",186,"2008-10",19,9.33286100387573,-0.31793646335602
"3629","OK","1000-0018-118-0803","803","HS200815-IBC06-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Great Central","Great Central","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC06","IBC06","PORTLAND IN",189,70,"M","WORMS, LIVER FUSED TO STOMACH","","","MID-WATER TRAWL","P003","NC","Northern",54.786,-130.312,"1000-0018-118-0803","Mixed","NO","AvgCopy",0,0,0,3293.84183,0,0,0,0,0,0,0,0.002352607,0,0,0,0,0,NA,6141145.71,0,0,0,0,0,145.2548028,345.2784271,0,0,0,50.92290553,0,0,1.908978386,0,2.264805604,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",189,"2008-10",19,9.33616388956706,-0.346063440110948
"3630","OK","1000-0018-118-0808","808","HS200815-IBC06-118-007","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Gingit RT","Gingit RT","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC06","IBC06","PORTLAND IN",186,67,"M","","","","MID-WATER TRAWL","P003","NC","Northern",54.786,-130.312,"1000-0018-118-0808","Mixed","NO","AvgCopy",0,0,0,6.399633546,0,0,0,0,0,0,0,1.083357493,98.39012796,0,0,0,0,NA,72.18619193,0,0,0,0,0,0,165.1595581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",186,"2008-10",19,9.33616388956706,-0.346063440110948
"3631","OK","1000-0018-118-0809","809","HS200815-IBC06-118-008","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Gingit RT","Gingit RT","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC06","IBC06","PORTLAND IN",171,49,"M","WORMS","","","MID-WATER TRAWL","P003","NC","Northern",54.786,-130.312,"1000-0018-118-0809","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,0.005808901,421.4984504,0,0,0,0,NA,349.702416,0,0,0,0,15.26687159,0,539.8166916,0,0,0,0,0,0,1.47397934,0,0,0,0,0,0.672602116,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",171,"2008-10",19,9.33616388956706,-0.346063440110948
"3632","OK","1000-0018-118-0810","810","HS200815-IBC06-118-009","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Great Central","Great Central","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC06","IBC06","PORTLAND IN",188,64,"M","WORMS","","","MID-WATER TRAWL","P003","NC","Northern",54.786,-130.312,"1000-0018-118-0810","Mixed","NO","AvgCopy",0,0,0,8768.560107,0,0,0,0,0,NA,0,0.058686502,216.3758917,0,0,0,0,NA,3765308.26,0,0,0,0,NA,1.011166598,52.14998093,0,0,0,0,0,0,0,0.060107054,0,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",188,"2008-10",19,9.33616388956706,-0.346063440110948
"3633","OK","1000-0018-118-0815","815","HS200815-IBC07-118-004","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Henderson","Henderson","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC07","IBC07","PORTLAND IN",189,66,"F","","","","MID-WATER TRAWL","P003","NC","Northern",54.724,-130.419,"1000-0018-118-0815","Mixed","NO","AvgCopy",0,0,0,1035.251323,0,0,0,0,0,0,0,0.001116643,0,0,0,0,0,NA,4733089.021,0,0,0,0,0,487.815341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",189,"2008-10",19,9.35937572479248,-0.407602357864382
"3634","OK","1000-0018-118-0817","817","HS200815-IBC07-118-006","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Great Central","Great Central","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC07","IBC07","PORTLAND IN",191,71,"M","","","","MID-WATER TRAWL","P003","NC","Northern",54.724,-130.419,"1000-0018-118-0817","Mixed","NO","AvgCopy",0,0,0,8396.479312,0,0,0,0,0,0.234776863,0,0.020215463,9.053463759,0,0,0,0,NA,9602416.055,0,0,0,0,5.406712523,138480.5158,0,0,0,0,0,0,0,0,0,22.87293512,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",191,"2008-10",19,9.35937572479248,-0.407602357864382
"3635","OK","1000-0018-118-0818","818","HS200815-IBC07-118-007","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Neechanz","Low % Probability","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC07","IBC07","PORTLAND IN",184,65,"M","","","","MID-WATER TRAWL","P003","NC","Northern",54.724,-130.419,"1000-0018-118-0818","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,1.697262393,0,0,0,0,0,NA,1705572.711,0,0,0,0,0,22367.00812,509.541608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",184,"2008-10",19,9.35937572479248,-0.407602357864382
"3636","OK","1000-0018-118-0819","819","HS200815-IBC07-118-008","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","Great Central","Low % Probability","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC07","IBC07","PORTLAND IN",176,54,"M","","","","MID-WATER TRAWL","P003","NC","Northern",54.724,-130.419,"1000-0018-118-0819","Mixed","NO","AvgCopy",0,0,0,325.6354122,0,0,0,0,0,0,0,4.710922947,43.28580486,0,0,0,0,NA,4472322.805,0,0,0,0,0,3969.510796,15.0733,0,0,0,283.4821617,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",176,"2008-10",19,9.35937572479248,-0.407602357864382
"3637","OK","1000-0018-118-0826","826","HS200815-IBC08-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/19/2008","Fall","","","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-IBC08","IBC08","CHATHAM SD - MAIN PASS",190,72,"M","","","","MID-WATER TRAWL","P003","NC","Northern",54.611,-130.569,"1000-0018-118-0826","Mixed","NO","AvgCopy",0,0,0,584.7619575,0,0,0,0,0,0,0,12.68612202,21.16317719,0,0,0,0,NA,7.235945061,0,0,0,0,7.364144132,37.93594081,26.45957576,0,0,0,0,0,0,0,0,0,0,0,0,5.13661569,0,0,0,"FaWi",2008-10-19 03:00:00,"293",2008,"293","2008-10",190,"2008-10",19,9.52941423416138,-0.445597044626874
"3638","OK","1000-0018-118-0900","900","HS200815-QCST01-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/23/2008","Fall","Nimpkish L","Nimpkish L","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-QCST01","QCST01","QCST -  P HARDY",152,35,"M","","","","MID-WATER TRAWL","P012","JS","VIN",50.797,-127.397,"1000-0018-118-0900","Mixed","NO","AvgCopy",0,0,0,267.2614957,0,0,0,0,0,0,0,5.165043884,524.4013002,0,0,0,0,NA,0,0,0,0,0,918.0728819,NA,92.17034229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-23 03:00:00,"297",2008,"297","2008-10",152,"2008-10",23,9.18002983093263,-1.08282501644559
"3639","OK","1000-0018-118-0901","901","HS200815-QCST01-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/23/2008","Fall","Nimpkish L","Nimpkish L","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-QCST01","QCST01","QCST -  P HARDY",157,37,"M","","","","MID-WATER TRAWL","P012","JS","VIN",50.797,-127.397,"1000-0018-118-0901","Mixed","NO","AvgCopy",0,0,0,13945.54461,0,0,0,0,0,0,0,0.118768732,1955.986282,0,0,0,0,NA,0,0,0,0,0,4.50702922,74.14640871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-23 03:00:00,"297",2008,"297","2008-10",157,"2008-10",23,9.18002983093263,-1.08282501644559
"3640","OK","1000-0018-118-0916","916","HS200815-JS02-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/23/2008","Fall","Harrison","Harrison","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-JS02","JS02","JOHNSTONE ST",125,19,"M","","","","MID-WATER TRAWL","P012","JS","VIN",50.509,-126.509,"1000-0018-118-0916","Mixed","NO","AvgCopy",0,0,0,7.93983395,0,0,0,0,0,0,0,0.030693555,17357555.69,0,0,0,0,NA,20692139.27,0,0,0,0,1609190.061,0.445311924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-23 03:00:00,"297",2008,"297","2008-10",125,"2008-10",23,9.55925467809041,-0.657491617202757
"3641","OK","1000-0018-118-0925","925","HS200815-GS04-118-003","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/24/2008","Fall","Harrison","Harrison","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-GS04","GS04","GEORGIA ST - OFF TEXADA IS W",165,48,"F","","","","MID-WATER TRAWL","P014","NSOG","VIS",49.64,-124.566,"1000-0018-118-0925","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,0.003179189,284.2709039,0,0,0,0,NA,3652892.286,0,0,0,0,1050464.773,0,91.78127895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-24 03:00:00,"298",2008,"298","2008-10",165,"2008-10",24,11.3334192911784,-0.284942372639975
"3642","OK","1000-0018-118-0932","932","HS200815-GS12-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/25/2008","Fall","Harrison","Harrison","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-GS12","GS12","GEORGIA ST - MALASPINA ST",145,29,"F","","","","MID-WATER TRAWL","P016","NSOG","VIS",49.695,-124.248,"1000-0018-118-0932","Mixed","NO","AvgCopy",0,0,0,0,0,NA,0,0,0,0,0,0.251985528,0,0,0,0,0,NA,5267369.297,0,0,0,0,312099.1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-25 03:00:00,"299",2008,"299","2008-10",145,"2008-10",25,11.5221243540446,-0.263012112511531
"3643","OK","1000-0018-118-0933","933","HS200815-GS12-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"10/25/2008","Fall","Harrison","Harrison","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-GS12","GS12","GEORGIA ST - MALASPINA ST",145,32,"F","","","","MID-WATER TRAWL","P016","NSOG","VIS",49.695,-124.248,"1000-0018-118-0933","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,0,0.009485559,0,0,0,0,0,NA,2797391.561,0,0,0,0,2162925.738,0,160.0618334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-10-25 03:00:00,"299",2008,"299","2008-10",145,"2008-10",25,11.5221243540446,-0.263012112511531
"3644","OK","1000-0018-118-0936","936","HS200815-GS15-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"11/5/2008","Overwinter","Harrison","Harrison","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-GS15","GS15","GEORGIA ST - OFF GABRIOLA IS E",167,45,"M","","","","MID-WATER TRAWL","P029","SSOG","VIS",49.206,-123.669,"1000-0018-118-0936","Mixed","NO","AvgCopy",0,0,0,37.27940675,0,0,0,0,0,0,0,0.038251201,15.73675663,0,0,0,0,NA,7426603.214,0,0,0,0,8.337129024,4.173137162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-11-05 03:00:00,"310",2008,"310","2008-11",167,"2008-10",5,11.4357096862793,-0.362236042022705
"3645","OK","1000-0018-118-0940","940","HS200815-GS16-118-002","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"11/5/2008","Overwinter","Harrison","Harrison","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-GS16","GS16","GEORGIA ST - MID STRAIT",144,27,"M","","","","MID-WATER TRAWL","P029","SSOG","VIS",49.209,-123.465,"1000-0018-118-0940","Mixed","NO","AvgCopy",0,0,0,NA,0,0,0,0,0,0,0,9.891353796,0,0,0,0,0,NA,7306458.49,0,0,0,0,456499.5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FaWi",2008-11-05 03:00:00,"310",2008,"310","2008-11",144,"2008-10",5,11.4940682093302,-0.322988674375745
"3646","OK","1000-0018-118-0944","944","HS200815-GS17-118-001","HS","Sockeye","200815 2008 HS Oct","High Seas","SW",2008,"11/5/2008","Overwinter","Harrison","Harrison","L","N","Juvenile","W","Wild","1000-0018-S-HS200815-GS17","GS17","GEORGIA ST - OFF STURGEON BK W",150,32,"M","","","","MID-WATER TRAWL","P029","SSOG","VIS",49.199,-123.341,"1000-0018-118-0944","Mixed","NO","AvgCopy",0,0,0,0,0,0,0,0,0,0,1.387877206,0.255054704,6.373114069,0,0,0,0,NA,19476254.68,0,0,0,0,1387073.983,0,0,0,0,0,0,0,0,0,0.106576623,0,0,0,0,0,0,0,0,"FaWi",2008-11-05 03:00:00,"310",2008,"310","2008-11",150,"2008-10",5,11.376979675293,-0.31937009970347
