,experiment_name,technician,tray,unique_id,species,region,sub_region,trip_location,SWFW,stock_origin,stock_over_60_prob,catch_date,Year,season,hatchery_wild,thermal_score,osmotic_score,IM_score,VDD_score,X,X.1,Overall.stress,Number.agents..1000,MRS.PC1,Inflammation.PC1,Immune.PC1,Chloride...H2EB1,Chloride...HLA2.G1,Chloride...ICLP2,Chloride...PSMB7..2,Chloride...PSMB8,General.Stress...HSC70,General.Stress...Hsp90,General.Stress...JUN,Growth...IGF.IR_sasa,Hypoxia...anillin,Hypoxia...CDKN1B,Hypoxia...claspin,Hypoxia...GPX3,Hypoxia...HIF1A_6,Hypoxia...kif4,Hypoxia...ncapd3,Hypoxia...ndc80,Hypoxia...RAMP1,Imminent.Mortality...ARRDC2,Imminent.Mortality...CLEC4E,Imminent.Mortality...GLUL,Imminent.Mortality...H1F0,Imminent.Mortality...IQGAP1,Imminent.Mortality...NUPR1,Imminent.Mortality...ODC1,Imminent.Mortality...TAGLN3,Immune.stimulation...B2M_sasa,Immune.stimulation...CD83_sasa,Immune.stimulation...hep_onmy,Immune.stimulation...IFNa_sasa2,Immune.stimulation...IgMs_onmy,Immune.stimulation...IL.15_onmy,Immune.stimulation...IL.1B_sa.om,Immune.stimulation...MHC.II.B,Immune.stimulation...RIG.I_sasa1,Immune.stimulation...SAA_onmy,Inflammation...ES1,Inflammation...GILT,Inflammation...IL.11_onmy,Inflammation...IL.17D_onmy,Inflammation...MMP13_sasa,Inflammation...MMP25,Inflammation...napepld,Inflammation...tgfb,Inflammation...txn,MRS...ATP5G3.C,MRS...C7,MRS...CA055640,MRS...FYB,MRS...HTA,MRS...IRF1,MRS...KRT8,MRS...PRAS,MRS...RPL6,MRS...SCG,Osmotic...CEBPB,Osmotic...CFTR.I_v1,Osmotic...FKBP5.v1,Osmotic...PRLR.v1,Osmotic...RGS21.v1,Osmotic...SHOP21,Stress.Mortality...HSP90ab1_15_v1,Stress.Mortality...LDH_1,Stress.Mortality...VEGFa_1,Thermal...EEF2.v1,Thermal...EF.2_14,Thermal...FKBP10_2,Thermal...FKBP10_4,Thermal...hsp70_6,Thermal...Hsp90AA1,Thermal...HSP90alike_6,Thermal...Map3k14_3,Thermal...SERPIN_20_v1,Thermal...SERPIN_9,Thermal...Sfrs9_1._v2,VDD...CA038063_MGL_1,VDD...DEXH_MGL_1,VDD...GAL3_MGL_2,VDD...IFI,VDD...IFI44A_MGL_2,VDD...IFIT5_MGL_2,VDD...MX_ONTS,VDD...RSAD,VDD...TRIM1,Bacterium...Candidatus.Branchiomonas.cysticola,Bacterium...Candidatus.Syngnamydia.salmonis,Bacterium...Flavobacterium.psychrophilum,Bacterium...Moritella.viscosa,Bacterium...Piscichlamydia.salmonis,Bacterium...Piscirickettsia.salmonis,Bacterium...Renibacterium.salmoninarum,Bacterium...Strawberry.disease...Rickettsia.like.organism.,Bacterium...Tenacibaculum.maritimum,HAB...Heterosigma.akashiwo,HAB...Pseudochattonella,Parasite...Ceratomyxa.shasta,Parasite...Dermocystidium.salmonis,Parasite...Facilispora.margolisi,Parasite...Ichthyobodo,Parasite...Ichthyophonus.hoferi,Parasite...Ichthyophthirius.multifiliis,Parasite...Kudoa.thyrsites,Parasite...Loma.salmonae,Parasite...Myxobolus.arcticus,Parasite...Myxobolus.insidiosus,Parasite...Nanophyetus.salmincola,Parasite...Nucleospora.salmonis,Parasite...Paranucleospora.theridion,Parasite...Parvicapsula.kabatai,Parasite...Parvicapsula.minibicornis,Parasite...Parvicapsula.pseudobranchicola,Parasite...Sphaerothecum.destruens,Parasite...Tetracapsuloides.bryosalmonae,Virus...Circo.virus,Virus...Cutthroat.trout.virus.2,Virus...Erythrocytic.necrosis.virus,Virus...Infectious.hematopoietic.necrosis.virus,Virus...Pacific.salmon.parvovirus,Virus...Picorna.virus,Virus...Piscine.orthoreovirus..1,Virus...putative.RNA.virus.1,Virus...Qin.virus,Virus...Rhabdo.virus,Virus...Salmon.pescarenavirus.1,Virus...Salmon.pescarenavirus.2,Virus...Viral.encephalopathy.and.retinopathy.virus,Virus...Viral.hemorrhagic.septicemia.virus,longitude,latitude,CU_ACRO,CU_NAME,JAZ,dist2fras,deg2samp
867,Onne FitChip 2020,TM,3988,1000-0101-118-B3588,Sockeye,Vancouver Island North,Discovery Islands,Discovery Islands,SW,Thompson N,Thompson N,5/22/13,NA,2-Spring,Wild,0.6074,0.6088,0.2193,0.3796,NA,NA,0,3,0.104636548,-0.696500134,1.410113796,-5.188811866,-1.463313554,-0.596115626,-0.366681009,-7.451655491,-0.621396701,2.949124456,-1.337436521,-0.180667661,0.086735169,-0.542157191,-0.204048761,0.184051399,-0.636610901,2.432486709,0.073374459,-0.182879291,-0.500697581,-0.350791311,-0.046441121,-0.317761019,-1.263020081,-0.33569175,-0.220385891,1.817959147,0.228616516,-1.249571971,-0.158843821,-1.085561301,0.255370939,-2.739183048,-0.651751291,-0.269116051,-1.135667522,-2.142140311,-1.977054421,-2.016009261,-0.761568667,1.580897589,-2.012814991,-0.066355847,0.029536259,1.548905199,0.580556919,0.789444542,-1.173967088,0.470824989,2.594329259,-0.167599851,-0.042107771,-0.445308571,-0.154729028,-0.136878521,-2.530734271,0.407009399,0.520180081,-0.566943424,0.587190181,-0.783772811,-1.658629571,-0.441514791,-0.772087281,4.354043999,0.637049859,-0.119648597,0.412827123,-0.767340316,0.070819755,2.933949471,2.506973149,1.559208259,-0.674733969,-0.206065941,-1.517980341,-0.549653281,-0.540021465,-1.416648601,-2.532883861,-0.981501331,0.121660029,-1.510193961,0.364945671,-1.889584521,-0.954430133,8727.636513,0.808701356,0,0,0,0,0,0,0,1641.065296,0,0,0,0,35358.48281,0,-999,0,0,6.070257581,0,0,0,0.572275882,13.6893413,0.853292114,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,1.448928553,0,0,-125.1192333,50.14025,FRMig,FRMig,LTh+GStr,177314.9453,0
868,Onne FitChip 2020,TM,4025,1000-0093-118-B1223,Sockeye,Vancouver Island North,Discovery Islands,SOG,SW,L Shuswap,Low % Probability,6/27/12,NA,3-Summer,Wild,0.6046,0.5265,0.0971,0.5099,NA,NA,0,2,0.71547737,-0.191490667,-0.001040099,0.123933437,0.350934498,0.433215522,0.824603273,0.598882453,-1.331629106,1.527145514,-4.101302976,-0.424266296,-0.078667856,-0.665431476,-0.246599246,-0.392934966,-1.729582876,1.324820784,0.485166614,0.388651674,-0.827176156,-0.494712366,0.245727164,0.03051327,-0.117059412,-0.136388653,-0.753273766,-0.3495289,0.270629473,0.128030574,0.567150734,-1.875380086,-0.687103786,0.192421218,-0.444013213,-0.738777956,0.119049131,-1.675190296,-0.299955656,-2.526636336,-0.240915278,-1.158425906,-1.695301986,-1.035666426,1.445804324,1.096158664,0.350740394,0.757666008,0.169312246,-0.552338486,-3.719327286,0.168364294,-0.685322166,0.322655194,-0.575762834,-0.673143796,-1.009240716,-0.956690226,-0.369103566,-0.207834277,0.122427054,-0.504517226,-1.431795546,0.411564904,0.205019377,-0.721047146,-0.276904486,0.230811509,0.297151614,-0.46007826,-0.650712718,1.038398745,1.824002274,1.389743044,-0.991560106,0.700561655,-1.458388716,0.455613039,0.793290357,-0.835266016,-0.393512203,0.088579564,-0.459791266,0.379461334,0.638916733,-2.361835006,-0.390775054,8.499815441,0,0,0,0,0,0,0,0,456.8868597,0,0,0,0,690066.8188,0,0,0,0,0,0,0,0.421870784,0,0,0,0,0,0,0,NA,0.797531839,0,0,0,0,NA,0,0,NA,12063.75395,0,0,-125.1366667,50.0433,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,171442.9989,0
869,Onne FitChip 2020,TM,4026,1000-0071-118-7648,Sockeye,Vancouver Island North,Discovery Islands,PARR,SW,Harrison,Harrison,6/22/11,NA,3-Summer,Wild,0.5981,0.6454,0.4215,0.6064,NA,NA,0,4,0.934653497,0.407650504,0.104495878,0.85627042,0.061701275,0.422659059,0.47097295,-1.471785586,-0.054948522,-3.504687242,-1.171760552,-0.519369932,-0.168501442,-1.294846498,-0.590504182,0.052183898,-0.180608272,0.859057318,0.105012168,-0.363089582,0.948274925,0.172098428,0.374710788,0.276693694,-0.464514435,0.479670288,-1.046326802,0.358789199,1.305016958,-0.278666042,-0.705330682,0.323821068,-2.018111842,-2.405228023,0.353912608,-0.624596012,-0.370198389,-0.568302422,0.086679178,-2.320713912,-0.3950747,-0.084125572,0.114936318,-1.630554661,-1.479210132,-0.081360522,-0.686739812,-0.034441434,-0.457088857,-0.335124482,-0.820633702,-0.840046182,-0.749511472,-0.241142082,-0.757688485,-0.399054082,0.312200368,0.545397128,0.031293745,0.295418427,0.74238351,-0.528908882,0.956532518,0.423226128,-0.426138369,0.015426478,-0.320321462,0.849178506,-0.363633914,-0.043432627,-0.173885312,-0.683427203,-2.494176042,-2.281997822,-0.35820905,0.411116438,-0.011598572,0.055402952,-0.62406722,-0.500230872,0.516537449,0.064473968,0.549948958,-0.579297332,-2.581227532,0.463337668,-0.514288705,8099.923051,0,0,NA,0,0,0,0,0,9283.95861,0,0,0,0,0,0,0,0,0,232877.013,0,0,NA,0,0,0,0,0,0,0,0,0,0,3798.226346,0,0,0,0,0,0,0,0,0,-125.4901667,50.42925,Harrison-(D/S)-L,Harrison-(D/S)-L,LFR+GStr,226958.9939,0
870,Onne FitChip 2020,TM,3988,1000-0101-118-B3586,Sockeye,Vancouver Island North,Discovery Islands,Discovery Islands,SW,Birkenhead,Birkenhead,5/22/13,NA,2-Spring,Wild,0.5936,0.4222,0.3364,0.432,NA,NA,0,3,-0.254803753,-1.218400512,0.765379493,0.254580162,-0.665133007,-0.682950224,-0.220394467,-0.659983635,-0.797510425,2.290575303,-0.974298215,0.063245255,0.002209075,-0.823544495,0.241362715,0.877998595,-0.464491365,2.500393965,0.359925356,-0.032994075,-0.141293003,-1.448639325,-0.545575245,-0.525250839,-0.481735405,-0.232582635,-0.831041345,2.519113712,0.48620508,-0.972213295,0.054810265,-3.36441077,0.604359775,1.166733251,-0.330915395,1.009009735,-0.887670191,-1.863476285,-3.104378795,-2.355301875,-0.774349635,2.671342675,-1.607780475,0.618450987,0.210185085,2.035033845,0.567271375,0.862982648,-0.681472363,1.262572395,2.590068955,-0.327325155,-0.087767775,-0.483527995,-0.225299211,-0.288964205,-2.315190755,1.473083175,0.938212964,0.155897602,-1.006730485,-0.349402175,-2.541942415,0.178534935,-0.351048258,4.417833425,0.689912725,-0.111998221,0.267524844,-0.216126916,0.222298531,1.451298861,2.346396845,1.182516165,-0.594511375,-0.410400455,-1.070545275,-0.292688985,-0.544291535,-1.224714745,-1.47265608,-1.166052865,0.464230965,-1.256281375,0.347327762,-1.901355825,-0.981345211,21.46667017,0,0,0,0,0,0,0,0,39803.02798,0,0,0,0,85628.51506,0,0,0,0,3.734297899,0,0,0,38.4452387,79.65444083,2940.719732,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,4.053979355,0,0,-125.1192333,50.14025,Lillooet/Harrison-L,Lillooet/Harrison-L,LILL+GStr,177314.9453,0
871,Onne FitChip 2020,TM,4020,1000-0073-118-9360,Sockeye,Vancouver Island North,Discovery Islands,PARR,SW,Seymour,Low % Probability,6/16/12,NA,3-Summer,Wild,0.5922,0.5498,0.2015,0.5114,NA,NA,0,3,0.335827564,-0.932228917,-2.247433791,0.296621721,0.715216092,0.433941532,0.308236861,0.268901914,1.059107874,-1.264495036,-0.504206626,-0.217892856,-1.199905056,-0.461909206,-0.153182876,-0.648696236,1.247652104,0.883517724,-0.558766166,-0.100454716,0.295454204,1.671742834,0.770908784,-0.390020466,-1.055430353,-0.247848565,0.501676174,-1.270255383,-0.242238496,0.618548854,0.727405214,0.926008509,-0.726479016,-0.47550529,0.976075361,-0.088899616,0.596304373,0.430493084,1.367229584,-0.670028006,0.347022161,-0.000600946,-0.464040686,0.176537879,0.391881114,-0.211716396,-0.319856646,-0.823912307,0.207274557,-1.144086206,-2.875623476,-0.435058576,0.115792904,0.469961394,-0.58636145,-0.635478306,1.935098284,-0.593156956,-1.215530676,-0.021580016,-0.162972396,-0.509942156,1.455312984,-1.678749086,-0.357980834,-2.270638546,-0.457774766,0.44005426,-0.254943999,-0.009665978,-0.56650584,-0.531059636,-1.831012176,-2.744211856,-0.181866006,-0.362388876,-0.046639676,-0.274671716,-1.029315076,0.669507014,1.088368274,-0.094051866,-1.292148186,-0.194343106,0.150837394,-1.071802886,-0.525282375,47764.88264,1.353323165,0,0,0,0,0,0,0,3331.513065,0,0,0,0,3623.564637,0,0,0,0,3.778277368,0,0,0,0,0,51.50084589,0,0,0,0,NA,0,0,14.40504342,0,0,NA,0,0,NA,11.38291992,0,0,-125.0060333,50.0497,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,164390.3617,0
872,Onne FitChip 2020,TM,4000,1000-0096-118-B3864,Sockeye,Vancouver Island North,Discovery Islands,SOG,SW,Chilko,Chilko,6/3/13,NA,2-Spring,Wild,0.5865,0.3926,0.1348,0.3917,NA,NA,0,3,2.58288666,0.43551634,1.083929698,-0.752559289,-1.367176181,-2.630755539,-1.341667806,-5.597182318,-1.085715738,0.613782802,-1.356374058,-1.709554198,-1.370592988,-0.819830278,-0.825264968,-1.712910928,-1.238233868,0.783561592,-2.433214422,-0.475940688,-2.443927485,-1.439532338,-0.962836318,-1.767658106,-1.773018657,-2.402409983,-1.337217038,0.188151871,-1.003405744,1.498311102,-0.122730718,-1.266187268,-1.571486978,-2.5792075,-2.569854834,-1.451127068,-0.997861333,1.225153722,-0.247210178,-2.202939898,-2.130998386,0.691604632,0.669367982,-1.345649601,0.028315392,-0.063417158,-1.299525748,-0.889299748,-2.647589687,-1.373406078,-2.875985748,-1.236588008,0.178601882,-0.869710418,-0.311355579,-1.162761558,1.497482782,-1.257075238,-0.821837048,-1.805017275,-0.849544768,-1.748286528,-2.207003718,-1.752313068,-2.235254383,-0.749818408,0.145832222,-0.651688274,-1.837918176,-2.773399741,-2.302936981,-0.526385996,-1.331830538,-0.103311958,-0.711294495,-2.615477448,-0.517200428,-2.676870587,-2.959611905,-0.831131578,-0.724042722,-1.706479388,-2.597001728,0.44279581,0.782004176,-1.955100438,-2.009189926,12768.75833,0,0,0,0,0,0,0,0,884.5471185,0,0,0,0,219.9461359,0,0,0,0,118482.4618,0,0,0,58.98796467,17.69137055,0,0,0,0,0,NA,0.213550274,0,1212.465655,0,0.034389934,NA,0,0,NA,0.735227388,0,0,-125.3416667,50.29166667,Chilko-S,Chilko-S,MFR+GStr,206759.7217,0
873,Onne FitChip 2020,TM,3997,2016-0052-118-1601,Sockeye,Vancouver Island North,Discovery Islands,,SW,L Shuswap,L Shuswap,6/7/16,NA,2-Spring,Wild,0.5853,0.2229,0.0453,0.1097,NA,NA,0,3,1.748721564,2.318667856,2.727314949,-0.687077524,-1.121091763,-0.881446967,-0.159876023,-1.296118137,-1.712739987,-2.951901167,-1.321367107,0.023700093,-0.325701627,-0.189901737,-1.297403087,-0.189924537,-0.154172137,-1.229117407,-0.539418767,-0.765219617,0.40569217,-1.661724457,-1.159636837,-0.97893197,-0.689791057,-0.521821124,-1.655858197,-0.958481427,-1.093829938,-2.031715397,-1.780378817,-1.522742137,-0.499480857,-3.144502417,-0.260864147,-3.363889937,-0.197791342,-1.740915647,-3.106434447,-2.737241697,-0.433069366,-2.493517797,-1.837200117,-4.215721527,-2.002718467,-1.137424457,-0.327033377,-0.157668364,-0.560902059,-2.076976007,0.308922093,-1.388771237,-1.250086677,-0.549349897,-0.157264344,-0.346824637,-1.303024497,-0.034384797,-1.924883567,-0.898004157,-0.650073707,-1.123688257,-2.150063347,-0.540227297,-1.108579823,-0.000384317,-0.917381047,-0.49063639,-0.708946409,-0.704069975,-0.221395979,-1.437517397,-1.874202967,-1.488809647,-1.340391601,-1.080295427,-0.086622047,-0.700740977,-1.969209007,-2.026783037,-1.522578651,-0.531871427,-2.585881847,-1.541190207,-0.714098537,-1.308265717,-0.708567856,7688.403495,52.38222646,0,NA,0,0,0,0,0,0,0,0,0,0,458.4899064,0,0,0,0,0,0,0,NA,2427.331263,0,17097.95702,0,0,0,0,0,0,0,393.665343,0,0,0,0,0,0,93.52009288,0,0,-125.397371,50.244069,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,203936.6458,0
874,Onne FitChip 2020,TM,4021,2015-0032-118-E5666,Sockeye,Vancouver Island North,Discovery Islands,Johnstone Strait,SW,Pitt,Pitt,6/1/15,NA,2-Spring,Wild,0.5746,0.2734,0.0914,0.6173,NA,NA,0,1,-0.05048781,0.349873743,-0.057589082,-0.75510715,-0.183551756,0.132658777,0.613770967,-0.404338288,-0.045749008,-1.649369548,0.764677832,-0.039149688,0.599031312,-0.623361098,0.407990632,0.501127372,0.197789462,0.259826212,1.059187182,0.761992332,-0.096839218,0.235295202,-1.125922468,-0.620702481,0.220351678,0.138083305,0.600899772,-0.623341573,0.182265214,-1.231356688,-1.583930928,0.268749132,0.409910492,-2.799235628,0.726882969,-0.071550638,-0.167941317,0.739233952,-2.100289808,-1.367052708,-0.261524874,-1.160646458,0.234300222,-1.531852036,-0.883860238,0.082594332,-0.745207218,-0.123361905,0.09780513,0.914555032,1.284713982,-0.833602638,-0.671099418,-0.513226198,0.260730209,-0.161557748,0.839687502,0.457660332,-0.801902738,0.662005668,-1.242647871,-0.423980528,-0.359113008,-1.716457598,0.196477452,-3.254642568,-0.421174588,0.146072076,0.634165182,0.610444355,1.015124643,-0.455832788,-1.067593318,-1.165849118,-0.35627123,-1.061856208,-0.545701188,0.135640652,-0.290939171,-0.339241248,-1.304049528,0.592299212,-0.151007538,0.121046792,0.461654862,0.256293442,-0.620990851,646.4412114,1.180712821,0,0,0,0,0,0,-999,0,0,0,0,0,159.2810261,0,1.121733844,0,0,96.09116875,0,0,0,136.3892958,0,39801.19288,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,-125.7609167,50.41505,Pitt-ES,Pitt-ES,LFR+GStr,241563.5473,0
875,Onne FitChip 2020,TM,3993,1000-0073-118-9354,Sockeye,Vancouver Island North,Discovery Islands,PARR,SW,L Adams,L Adams,6/15/12,NA,3-Summer,Wild,0.5717,0.5344,0.0956,0.3867,NA,NA,0,1,0.993568564,1.337139038,0.97630384,0.431959576,-0.495817978,-0.112649678,-0.750465109,-1.152835334,-0.281401624,-1.909385454,-1.539304544,0.124036896,-1.416207244,-0.509575856,-1.144507734,-0.301093344,0.567959516,1.611081186,-0.942124964,-0.868571164,-1.192049684,0.423787206,-0.232702284,-0.207433353,-0.845768292,-0.667973062,0.732376282,-0.529090355,-1.011675463,-0.965010284,0.918437446,-2.659466624,-0.606219194,-1.999632621,-0.436595926,-0.444396094,-0.699192706,-2.092897934,-0.400229804,-2.815648484,-0.523344014,-1.161489594,-1.694459124,-1.989052882,0.875297766,1.032823526,0.704676216,-1.555015059,-0.868413018,-0.608911614,0.746433516,-0.181129084,-0.317817944,0.392079156,-1.064174528,-1.031527494,-2.634633804,-0.360861004,-1.138763924,-0.337106606,0.48927611,-0.565749319,-1.612515354,0.063280726,-0.925247934,-0.291275844,-0.396113394,-0.315817026,0.882773254,-1.028113112,-1.2801574,-1.244409316,-3.362174464,-2.975981914,-0.216394244,-0.835515504,-0.158775294,-0.378922379,-1.654890564,-0.887295574,-0.834762772,-1.460006154,1.153046926,-2.205905014,-0.575546454,-3.173669664,-0.839670535,5900.768092,0,0,0,0,0,0,0,0,0.750749374,0,0,0,0,687.4043768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,-125.2127,50.12286667,Shuswap-ES,Shuswap-ES,STh+GStr,180574.6982,0
876,Onne FitChip 2020,TM,3981,2015-0032-118-E5552,Sockeye,Vancouver Island North,Discovery Islands,Johnstone Strait,SW,Chilko,Chilko,6/21/15,NA,3-Summer,Wild,0.5713,0.4409,0.1298,0.3902,NA,NA,0,2,1.945582203,1.120783651,1.324117699,-0.278226992,-1.180304135,-2.638786741,0.510894234,-0.942555059,-2.290522812,0.027504218,-1.866333602,-0.132939452,-0.330283133,-0.642651162,-0.324019922,-0.274170972,0.100324768,1.026971148,-0.162296811,-0.199742862,0.09627096,-1.651850692,-1.221323782,-0.835817503,-0.63127764,-0.315008731,-1.010245332,0.322739128,-1.05119131,-1.360522662,-0.678738822,-2.180346022,-0.379651972,-1.21117438,-1.222000345,-0.576416572,-1.093535481,-1.258812392,-0.284479077,-2.666038272,-0.953248186,-1.283102032,-2.116269172,-0.465592132,-0.359016932,0.337911458,-1.450902692,0.008165688,-1.618255729,-2.203912172,-1.785542462,-0.264623132,-0.253734802,-0.311425532,-1.256489401,-0.398256462,-2.730967642,-0.870636952,-0.724446752,-0.982347026,-0.3083061,-1.152640312,-3.289826872,1.019290028,-0.936840772,0.012254628,-0.035515582,-0.207219835,-1.873817183,-1.835207321,-1.361593908,-0.73932925,-0.995149282,0.071699248,-0.22241523,-0.647170942,-2.697919282,-0.729141549,-0.933931682,-1.949574662,-2.191260857,-1.092791042,0.914211198,-0.901350742,-0.139284364,-1.360111442,-0.302469013,201910.7803,-999,0,0,0,0,0,0,0,0,0,0,0,0,159.1479279,0,0,0,0.639769711,58534.48649,0,0,0,0.86485813,0,702.7511876,0,0,0,0,NA,0,0,-999,0,0,NA,5.701647379,0,NA,0,0,0,-125.61585,50.38678333,Chilko-S,Chilko-S,MFR+GStr,226995.0951,0
877,Onne FitChip 2020,TM,4027,1000-0068-118-4965,Sockeye,Vancouver Island North,Discovery Islands,PARR,SW,Hudson Bay,Hudson Bay,6/11/10,NA,2-Spring,Wild,0.5692,0.266,0.0477,0.3499,NA,NA,0,4,0.935076327,0.538238003,-0.680680106,-2.728257666,-1.670597995,0.834356259,-1.51106649,-0.254858105,0.244291765,1.503374708,-0.714231183,-1.310681668,-1.32244954,0.242864132,-0.782959374,-1.835382934,-1.951924101,-0.125454354,-0.85057906,-0.530782921,1.295920288,-1.086249776,0.465238935,-1.52244221,-0.840367478,-1.186376045,-1.653695865,-0.359947729,-0.71345327,1.378606216,1.702562066,-2.013487552,-0.598565702,-4.257648769,0.903899402,-0.333202229,-0.796569046,2.566332898,-0.568835659,-1.832956738,-1.029677692,0.772754012,0.909232704,-0.428795918,-2.106837827,0.629258944,0.064610748,-1.203072184,-1.414664959,-0.982206004,-2.561535735,-0.899668814,0.852749075,-1.561548804,0.977155848,-0.365320594,3.579062537,-1.05550674,-0.887510897,-1.867316986,-1.916612411,-1.022896854,-0.252132863,-1.308995921,-1.49299522,-1.585263157,-0.499911434,-1.033528752,-1.875493072,-1.268735064,-0.740278925,0.856691841,-0.218480821,0.094160016,-1.434731648,-0.396961709,-2.219172248,-0.552669925,-1.319004458,-1.822365468,-0.547947552,-1.421474874,-2.802046628,-1.072340964,-1.213290506,-4.497324477,-0.916873353,46113.86221,0,0,NA,0,0,0,0,0,105119.7217,0,0,0,0,4282.219265,0,0,0,0,449811.8178,0,0,NA,0.308489614,0,110.6480609,0,0,0,0,0,0,0,3.031897858,0,0,0,0,0,0,0,0,0,-125.1484667,50.02378333,Takla/Trembleur-ESTU,Takla/Trembleur-ESTU,MFR+GStr,171003.6603,0
878,Onne FitChip 2020,TM,3980,1000-0101-118-B3630,Sockeye,Vancouver Island North,Discovery Islands,Discovery Islands,SW,Chilko,Chilko,5/23/13,NA,2-Spring,Wild,0.5646,0.644,0.1672,0.631,NA,NA,0,4,0.227854183,0.902384561,0.685234951,0.880001274,-0.520971173,-0.642880722,-0.165920561,-0.154338931,-0.910312651,-1.579591331,0.105897559,-0.475846821,0.111171389,-0.457500187,-0.064004441,0.172354299,0.600327469,1.545922969,0.514247999,0.066952459,-0.715442814,0.725598649,-0.280459811,-0.380109877,-1.541328746,-0.227355387,0.104860199,0.245345834,0.145284772,-2.120315251,0.315540309,-1.014637476,0.217878079,-1.615297187,-0.283395125,-0.761491491,-0.405318837,-1.049137531,-1.550681701,-2.924870681,-0.454062556,-0.311763731,-1.825443301,-0.758599139,-0.718470611,0.587754969,0.073000759,-0.591548138,-0.379234655,-0.436905561,-0.335406391,-0.097610961,-0.467598251,0.277999639,0.385943132,-0.380409091,-2.764790271,-0.736480451,0.861537652,-0.264890521,0.939741529,-0.343738401,0.307290649,-1.308656581,-0.263419037,0.185662119,-0.150132001,0.142490917,0.837265064,0.066126417,0.047825461,0.468777608,-2.230478221,-2.726880431,-0.415518792,-0.470976711,-0.485671071,0.211424279,-0.470044127,-0.506189931,-1.742258022,0.409101209,3.362078259,0.0930362,2.265859561,0.596077329,-0.393451102,23325.40894,0,0,0,0,0,0,0,0,15587.09602,0,0,0,0,28394.55579,0,0,0,0,0,0,0,0,8.087429563,0,0,0,0,0,0,NA,0,0,2337.519605,0,0,NA,0,0,NA,0.19796341,0,0,-125.14695,50.18258333,Chilko-S,Chilko-S,MFR+GStr,183538.9231,0
879,Onne FitChip 2020,TM,4023,2015-0032-118-E5627,Sockeye,Vancouver Island North,Discovery Islands,Johnstone Strait,SW,Seymour,Seymour,6/8/15,NA,2-Spring,Wild,0.564,0.5235,0.1781,0.5272,NA,NA,0,1,-1.136705261,-1.62398951,-2.07415546,2.163345765,1.487309139,1.189631275,1.239097059,-1.181396191,-0.035791527,0.063848983,1.748627723,2.112436083,1.133676213,0.936201625,-0.683328617,-1.257832017,1.467610973,0.402690433,1.737313023,-0.206916717,1.164153711,0.713892633,-1.127813757,0.644136928,2.578993039,0.963368314,0.261247463,-1.904838546,0.015364537,-0.495430897,-1.138660587,-0.500054617,1.325905403,-2.513867767,3.482426582,0.137171393,1.526130234,0.547852403,-1.184838877,-0.816177607,1.126028701,-1.204803587,0.623207663,-0.577104697,-0.096951617,-1.993696667,-0.443307057,0.493175044,1.411195825,-1.166518627,0.794768523,-0.042042127,-0.949501967,-0.322096377,1.811199365,0.906165213,0.745353573,-0.840137127,-1.360577967,2.518903058,-0.953533262,1.312920893,0.290743003,-0.325724657,1.416640778,-0.432904937,-0.145143427,0.597849355,0.525966849,0.915317016,0.151140793,2.620732191,1.350887803,-1.462806757,0.136788425,0.162286853,-0.581817537,1.099572053,0.426114383,-1.491412637,0.235564303,0.194850973,-3.634000447,-1.903732597,0.854464873,-1.904826547,0.663442592,1423.934519,0,0,0,0,0,0,0,0,0,0,0,0,0,247.1046397,0,0,0,0,0,0,0,0,0,0,96.22193092,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,-125.3320833,50.30508333,Shuswap Complex-L,Shuswap Complex-L,STh+GStr,205766.1516,0
