"","Unique","Ewatch","Prog","SWFW","Year","Date","DOY","days","Stock","Stock_Analysis","Stock_Region","Stock_Group","Stock_Area","SEASON1","Length","Mass","K","logK","Sex","Catch_Region","Zone","Latitude","Longitude","Tissue","LOD","Value","hkg","ae_hyd","ae_sal","arena1","arena2","ascv","aspv","Bafini_b","c_b_cys","ce_sha","Circo.virus","cov","cr_sal","ctv","de_sal","fa_mar","fl_psy","gy_sal","Hantavirus","ic_hof","ic_mul","IcD","ihnv","ipnv","isav7","isav8","ku_thy","lo_sal","mitov","mo_vis","my_arc","my_cer","my_ins","na_sal","ne_per","Nido2_a","nu_sal","omv","ortho","pa_kab","pa_min","pa_pse","pa_ther","pch_sal","Picorna2_virus","pisck_sal","pmcv","prv","pspv","Qin","re_sal","reov","Rhabdo3_virus","rlo","Salmovirus","sav","sch","SGPV","smallUK","sp_des","sp_sal","te_bry","te_mar","toti","ven","ver","vhsv","vi_ang","vi_sal","ye_ruc"
"11","2020-0001-124-M4315",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",450,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",3.13e-83,NA,NA,0,0,0,NA,0,257.7877962,0,0,0,NA,0,0,0,0,NA,0,0,0,1.358855031,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,3739.865455,0,0,0,NA,0,0,0,NA,0,0,1.239793946,67.87346676,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"12","2020-0001-124-M4326",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",600,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",1e-100,NA,NA,0,0,0,NA,0,397.8592806,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,722.9017279,0,0,0,NA,0.88604309,0,0,NA,0,0,0,0.748166395,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"13","2020-0001-124-L2004",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",NA,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",3.64e-94,NA,NA,0,0,0,NA,0,10794.3653,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0.041406216,63.78702164,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0.260736179,NA,0,0,0,NA
"14","2020-0001-124-L2023",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",NA,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",5e+99,NA,NA,0,0,0,NA,0,54.94143349,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"15","2020-0001-124-L2028",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",NA,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",1e-100,NA,NA,0,0,0,NA,0,24.4498648,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,903076.6062,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,772.9824258,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,NA
"16","2020-0001-124-L2029",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",NA,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",4.53e-98,NA,NA,0,0,0,NA,0,1192.614398,0,0,0,NA,0,0,0,7.332398259,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0,909.8590416,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0.522755365,NA,0,0,0,NA
"17","2020-0001-124-L2030",NA,"WCVI","SW",2020,"3/2/20",62,NA,"","","","","","Winter",NA,NA,NA,NA,"U","WCVI","WCVI",49.2278,-125.8795,"Gill","","AvgCopy",1e-100,NA,NA,0,0,0,NA,0,181360.3128,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,87558.36611,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,206.6113558,3063.336618,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0.833797758,NA,0,0,0,NA
"19","1000-0019-118-1242",NA,"HS","SW",2009,"3/5/09",64,NA,"Harrison","Harrison-Widgeon","Lower Fraser","Lower Fraser","Fraser","Winter",217,99,NA,NA,"F","WCVI","WCVI",49.212,-126.811,"Gill","","AvgCopy",4.91e-09,0,0,NA,0,NA,0,NA,674.0251816,0,0,NA,0,NA,0,0,0,0,NA,0,0,0.476787146,0,0,0,0,0,0.489607993,NA,NA,1.591999936,0,0,0,0,NA,0,0,NA,0,104.2183741,0.881924958,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
"20","1000-0019-118-1243",NA,"HS","SW",2009,"3/5/09",64,NA,"Harrison","Harrison-Widgeon","Lower Fraser","Lower Fraser","Fraser","Winter",223,113,NA,NA,"M","WCVI","WCVI",49.212,-126.811,"Gill","","AvgCopy",2.18e+33,0,0,NA,0.410014252,NA,0,NA,13477.67245,1.358617892,0,NA,0,NA,0,0,0,0,NA,0,0,536.3085945,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,134.9658608,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
"21","1000-0019-118-1296",NA,"HS","SW",2009,"3/11/09",70,NA,"Long Lake","Central Coast","Central Coast","Central Coast","Central Coast","Winter",219,101,NA,NA,"F","Northern","ECVI",51.018,-128.871,"Gill","","AvgCopy",2.36e-44,0,0,NA,NA,NA,0,NA,7386.064547,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,NA,NA,0,0,0,0,0,NA
"22","2018-0001-124-L162",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.4,0.71,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",1.7e-10,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2018-0001-124-L194",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.6,0.89,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",5.22e+33,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2018-0001-124-L161",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.6,0.9,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",9.94e+29,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-0001-124-L196",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.8,0.98,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",1.57e+22,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2018-0001-124-L152",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.8,0.99,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",1.05e-07,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2018-0001-124-L160",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.7,1,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",1.56e-06,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022951197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2018-0001-124-L151",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.8,1,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",4.11e-07,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2018-0001-124-L200",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.9,1.05,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",1.27e-11,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18289302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2018-0001-124-L322",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.7,1.06,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",2.63e+33,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356736423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2018-0001-124-L184",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.9,1.08,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",5.71e+25,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.032279726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2018-0001-124-L169",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",5.1,1.12,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",4.58e-08,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566.9935946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2018-0001-124-L186",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.9,1.15,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",7.72e+30,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2018-0001-124-L188",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",5.1,1.19,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",6.21e+26,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022572658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2018-0001-124-L177",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",5,1.2,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",1.35e-19,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2018-0001-124-L567",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",5,1.29,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",4.5e-12,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2018-0001-124-L208",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",4.9,1.38,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",4.1e+32,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300.785704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2018-0001-124-L189",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",5.4,1.46,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",7.35e-11,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.28469629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2018-0001-124-L547",NA,"Challenge","O",2018,"3/19/18",78,NA,"","","","","","Winter",5.3,1.7,NA,NA,"U","","",NA,NA,"Gill","","AvgCopy",2.56e+35,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.49185379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1000-0167-118-A0002",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",91,6.1,0.809479133,-3.091794342,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",0.136685364,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
"52","1000-0167-118-A0036",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",91,6.7,0.889100032,-3.051049374,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",62.15635758,0,0,NA,NA,NA,NA,NA,39.33676144,0,NA,NA,0,NA,0,0,0,0,NA,0,0.620269436,NA,0,0,0,0,0,0,NA,0,6.956437866,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
"53","1000-0167-118-A0014",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",92,6.7,0.860421632,-3.065288679,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",7831.904245,0,0,NA,NA,NA,NA,NA,1680.368231,0,NA,NA,0,NA,0,0,21.83891842,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,2.271893273,NA,0,NA,NA,0,NA,0,0,NA,NA,2684.046182,0,0,0,NA,0,0,0,0,0,0
"59","1000-0167-118-A0060",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",94,7.6,0.91501883,-3.038569969,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",0.003400825,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
"60","1000-0167-118-A0007",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",96,7.8,0.881618924,-3.054719096,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",1957.810309,0,0,NA,NA,NA,NA,NA,1240.021432,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
"65","1000-0167-118-A0039",1,"FW","FW",2012,"4/3/12",94,1295,"Cultus Lake","Cultus","Lower Fraser","Lower Fraser","Fraser","Spring",104,8.4,0.746756941,-3.126820732,"","FW","FW",49.07788,-121.978,"Mixed","NO","AvgCopy",0.035200634,0,0,NA,NA,NA,NA,NA,23.88978299,0,NA,NA,0,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,NA,0,115.7735337,NA,0,0,0,NA,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,NA,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0
