df_ID,"""ID""",MAP_LABEL,GFE_ID,SYSTEM_SITE,GFE_TYPE,POPMAP,SPECIES_QUALIFIED,YLAT,XLONG,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO,CU_NAME,CU_ACRO,CU_LATITUDE,CU_LONGITUDE,NUMBER_OF_SITES,CU_TYPE,CU_INDEX,FULL_CU_IN,SBJ_ID,POP_ID,IS_INDICATOR,OL_GRP_NM,OL_GRP_N,AREA,ISENH,COMMENTS,GFE_ID_IN_NUSEDS,POP_ID_IN_NUSEDS,CMNT,EFFECTIVE_DT,WATERSHED_CDE,NEWWATERSHEDCDE
Chilko North,6562,1,2430,CHILKO LAKE-NORTH END,Lake Portion,NA,SEL,51.59773192,-124.1573668,MFR,GStr,MFR+GStr,Chilko_Summer,Chilko-S,51.7701601,-123.9216045,3,Current,L-06-03,SEL-06-003,1,45080,N,Summer-Chilko,7,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,1.50E+44
Chilko south,6561,1,2431,CHILKO LAKE-SOUTH END,Lake Portion,NA,SEL,51.10225386,-124.0318793,MFR,GStr,MFR+GStr,Chilko_Early Summer,Chilko-ES,51.10225386,-124.0318793,1,Current,L-06-02,SEL-06-002,1,45081,N,Early Summer-Mid and Upper Fraser,5,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,1.50E+44
Chilliw lake,6482,2,63,CHILLIWACK RIVER-UPPER,Stream Segment,NA,SEL,49.01504784,-121.4086645,LFR,GStr,LFR+GStr,Chilliwack_Early Summer,Chilliwack-ES,49.04891899,-121.4323052,3,Current,L-03-01,SEL-03-001,1,46986,Y,Early Summer-Lower Fraser,6,LFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,1.00E+44
ChutineRiver,7194,1,2196,CHUTINE RIVER,Stream,NA,SEL,57.65237882,-131.6324917,LStk,TBFj,LStk+TBFj,Chutine,Chutine,57.65237882,-131.6324917,1,Current,L-26-03,SEL-26-003,1,45143,Y,Stikine-Wild,28,TBFjord,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,620-000000-00000-00000-0000-0000-000-000-000-000-000-000,6.20E+44
CopperR QCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,CR,AKCst,CR+AKCst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cultus Lake,6484,1,2441,CULTUS LAKE,Lake,NA,SEL,49.07507039,-121.9817234,LFR,GStr,LFR+GStr,Cultus_Late,Cultus-L,49.07507039,-121.9817234,1,Current,L-03-02,SEL-03-002,1,45093,Y,Fall-Cultus,11,LFraser,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-065700-09700-13300-0000-0000-000-000-000-000-000-000,1.00E+44
Dallery,6963,2,938,DALLERY CREEK,Stream,NA,SEL,51.67301235,-127.0435318,RSI,HStr,RSI+HStr,Owikeno,Owikeno,51.73456475,-126.7934667,9,Current,L-15-02,SEL-15-002,1,51615,Y,Areas 7 to 10,21,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-128800-23700-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Devon Lake,7015,1,1924,DEVON LAKE CREEK,Stream,NA,SEL,53.45326067,-129.7717555,HecLow,HStr,HecLow+HStr,Devon,Devon,53.45326067,-129.7717555,1,Current,L-19-14,SEL-19-014,1,44240,Y,Coastal Areas 3 to 6,22,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,915-560200-24900-00000-0000-0000-000-000-000-000-000-000,9.16E+44
DollyVarden Cr,6481,1,2440,CHILLIWACK LAKE,Lake,NA,SEL,49.08279015,-121.4559459,LFR,GStr,LFR+GStr,Chilliwack_Early Summer,Chilliwack-ES,49.04891899,-121.4323052,3,Current,L-03-01,SEL-03-001,1,45092,Y,Early Summer-Lower Fraser,6,LFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,1.00E+44
Eagle L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felix,7209,4,295,NECHAKO RIVER,Stream,NA,SER,53.91835665,-122.7152103,MFR,GStr,MFR+GStr,Middle Fraser<<VREQ[Bin]>>,MFR,52.39529915,-122.673443,6,VREQ[Bin],R05,SER-005,1,45993,N,-,NA,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,180-000000-00000-00000-0000-0000-000-000-000-000-000-000,1.80E+44
FiveMile,7117,11,598,FIVE MILE CREEK,Stream,NA,SEL,55.25578726,-126.6014542,MSK,NSKEst,MSK+NSKEst,Babine Complex,Babine,54.88307568,-126.0483318,34,Current,L-21-02,SEL-21-002,1,49389,N,Babine Lake Enhanced,23,Skeena,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,480-452300-00000-00000-0000-0000-000-000-000-000-000-000,4.80E+44
Freda Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fulton L,7120,14,501254,FULTON RIVER,Stream,NA,SEL,54.81422547,-126.1464808,MSK,NSKEst,MSK+NSKEst,Babine Complex,Babine,54.88307568,-126.0483318,34,Current,L-21-02,SEL-21-002,1,3237,N,Babine Lake Enhanced,23,Skeena,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,480-697200-00000-00000-0000-0000-000-000-000-000-000-000,4.81E+44
Gates Cr,6557,3,132,GATES RIVER,Stream,NA,SEL,50.55181255,-122.4731293,MFR,GStr,MFR+GStr,Anderson/Seton_Early Summer,Anderson/Seton-ES,50.57788313,-122.4459747,6,Current,L-06-01,SEL-06-001,1,47211,Y,Early Summer-Mid and Upper Fraser,5,MFraser,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,100-235900-99100-00000-0000-0000-000-000-000-000-000-000,1.00E+44
Genesee,6972,2,942,GENESEE CREEK,Stream,NA,SEL,51.66468409,-126.6699683,RSI,HStr,RSI+HStr,Owikeno<<VREQ[Bin]>>,Owikeno-Late,51.68124637,-126.8567604,2,VREQ[Bin],L-15-03,SEL-15-003,1,51635,Y,Areas 7 to 10,21,NCCoast,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-128800-63100-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Gingit RT,7632,4,653,GINGIT CREEK,Stream,NA,SER,55.22209671,-129.1012279,LNR-P,NSKEst,LNR-P+NSKEst,Lower Nass-Portland,LNR-P,55.02223148,-129.5904101,17,Current,R20,SER-020,1,48269,Y,-,NA,Nass,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,500-185700-00300-00000-0000-0000-000-000-000-000-000-000,5.00E+44
Glendale,6903,1,847,GLENDALE CREEK,Stream,NA,SEL,50.65101205,-125.7236398,SC,SFj,SC+SFj,Glendale<<VREQ[Bin]>>,Glendale,50.65101205,-125.7236398,2,VREQ[Bin],L-11-12,SEL-11-012,1,50840,N,Area 11-13,19,SCMainland,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,900-569800-08600-00000-0000-0000-000-000-000-000-000-000,9.01E+44
Gluskie,6710,18,320,GLUSKE CREEK,Stream,NA,SEL,55.05665988,-125.5146776,MFR,GStr,MFR+GStr,Takla/Trembleur_Early Stuart,Takla/Trembleur-ESTU,55.2967611,-125.8410348,44,Current,L-06-14,SEL-06-014,1,45572,Y,Early Stuart,2,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-29200-0000-0000-000-000-000-000-000-000,1.83E+44
Great Central,6926,1,3416,GREAT CENTRAL LAKE,Lake,NA,SEL,49.32764265,-124.9826436,WVI,WVI,WVI+WVI,Great Central,GCL,49.32764265,-124.9826436,1,Current,L-13-08,SEL-13-008,1,93302,N,Somass,16,SWVI,UNK,NA,Y,N,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,930-137400-99500-00000-0000-0000-000-000-000-000-000-000,9.30E+44
Harrison,6490,6,2435,HARRISON LAKE,Lake,NA,SEL,49.32683266,-121.7812318,LFR,GStr,LFR+GStr,Harrison-downstream migrating_Late,Harrison-(D/S)-L,49.59035828,-121.9514039,12,Current,L-03-03,SEL-03-003,1,45086,N,Fall-Lower Fraser,15,LFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,110-000000-00000-00000-0000-0000-000-000-000-000-000-000,1.10E+44
Henderson,6927,1,1273,HENDERSON LAKE CREEK,Lake,NA,SEL,49.02059272,-125.0430033,WVI,WVI,WVI+WVI,Henderson,Henderson,49.02059272,-125.0430033,1,Current,L-13-09,SEL-13-009,1,40640,Y,Henderson,17,SWVI,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,930-162500-00000-00000-0000-0000-000-000-000-000-000-000,9.30E+44
Hobiton,6929,1,1245,HOBITON CREEK,Stream,NA,SEL,48.77461034,-124.7379799,WVI,WVI,WVI+WVI,Hobiton,Hobiton,48.77461034,-124.7379799,1,Current,L-13-11,SEL-13-011,1,40380,N,WCVI-Other,18,SWVI,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,930-071700-20600-00000-0000-0000-000-000-000-000-000-000,9.30E+44
Horsefly,6619,38,2449,HORSEFLY LAKE,Lake,NA,SEL,52.35941766,-121.3168397,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,45101,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-635400-14100-00000-0000-0000-000-000-000-000-000-000,1.61E+44
Hudson Bay,6712,20,338,HUDSON BAY CREEK,Stream,NA,SEL,55.48324597,-125.9817186,MFR,GStr,MFR+GStr,Takla/Trembleur_Early Stuart,Takla/Trembleur-ESTU,55.2967611,-125.8410348,44,Current,L-06-14,SEL-06-014,1,45592,N,Early Stuart,2,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-75700-0000-0000-000-000-000-000-000-000,1.83E+44
Hugh Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iskut RT,7654,6,2178,ISKUT RIVER,Stream,NA,SER,56.75241863,-131.7822836,LStk,TBFj,LStk+TBFj,Northern Transboundary Fjords,TBFj,57.28800644,-131.610928,23,Current,R22,SER-022,1,61004,N,-,NA,TBFjord,UNK,NA,Y,N,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,610-000000-00000-00000-0000-0000-000-000-000-000-000-000,6.10E+44
Kane,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kennedy,6939,8,1306,KENNEDY RIVER-LOWER,Stream Segment,NA,SEL,49.13683331,-125.6681491,WVI,WVI,WVI+WVI,Kennedy,Kennedy,49.11551746,-125.5371853,9,Current,L-13-14,SEL-13-014,1,52110,N,WCVI-Other,18,SWVI,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,930-306400-00000-00000-0000-0000-000-000-000-000-000-000,9.30E+44
Kimsquit,6996,1,977,KIMSQUIT RIVER,Stream,NA,SEL,52.88421833,-127.0804214,NC,HStr,NC+HStr,Kimsquit,Kimsquit,52.88421833,-127.0804214,1,Current,L-18-06,SEL-18-006,1,51815,N,Coastal Areas 3 to 6,22,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-322400-00000-00000-0000-0000-000-000-000-000-000-000,9.10E+44
Kingkown S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kitimat,7518,51,1050,KITIMAT RIVER,Stream,NA,SER,54.01778104,-128.6582138,NC,HStr,NC+HStr,Northern Coastal Fjords,NCFj,53.16379928,-128.4625467,94,Current,R16,SER-016,1,50360,N,-,NA,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-673500-00000-00000-0000-0000-000-000-000-000-000-000,9.11E+44
Kitkiata Lake,6997,1,1085,KITKIATA CREEK,Stream,NA,SEL,53.63898933,-129.2727339,NC,HStr,NC+HStr,Kitkiata,Kitkiata,53.63898933,-129.2727339,1,Current,L-18-07,SEL-18-007,1,52435,N,Coastal Areas 3 to 6,22,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-713300-00000-00000-0000-0000-000-000-000-000-000-000,9.11E+44
Kitlope,6998,1,7990614,KITLOPE RIVER,Stream,NA,SEL,53.21087108,-127.8439671,NC,HStr,NC+HStr,Kitlope,Kitlope,53.21087108,-127.8439671,1,Current,L-18-08,SEL-18-008,1,50270,N,Coastal Areas 3 to 6,22,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,910-617600-00000-00000-0000-0000-000-000-000-000-000-000,9.11E+44
Klinaklini,7284,17,850,KLINAKLINI RIVER,Stream,NA,SER,51.09258332,-125.6266259,HK,SFj,HK+SFj,Southern Fjords,SFj,50.70989048,-125.7975435,30,Current,R09,SER-009,1,50870,N,-,NA,SCMainland,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,900-592700-00000-00000-0000-0000-000-000-000-000-000-000,9.01E+44
Kuzkwa Cr,6683,3,312,KUZKWA RIVER,Stream,NA,SEL,54.78768682,-124.8772439,MFR,GStr,MFR+GStr,Takla/Trembleur/Stuart_Summer,Takla/Trembleur/Stuart-S,54.75653928,-124.9440666,12,Current,L-06-13,SEL-06-013,1,45554,Y,Summer-Late Stuart,8,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-32400-00000-0000-0000-000-000-000-000-000-000,1.83E+44
Kynock,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L Adams,6770,1,220,ADAMS RIVER,Stream,NA,SEL,50.89386286,-119.5505675,STh,GStr,STh+GStr,Shuswap_Early Summer,Shuswap-ES,51.00353871,-119.1041473,24,Current,L-09-02,SEL-09-002,1,46238,N,Early Summer-South Thompson,4,SThom,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,128-453400-00000-00000-0000-0000-000-000-000-000-000-000,1.28E+44
L Horsefly,6620,39,291,HORSEFLY RIVER,Stream,NA,SEL,52.46540443,-121.3887587,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,46893,Y,Summer-Quesnel,10,MFraser,Y,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-635400-00000-00000-0000-0000-000-000-000-000-000-000,1.61E+44
L Shuswap,6859,66,240,SHUSWAP RIVER-LOWER,Stream Segment,NA,SEL,50.72141906,-119.0468253,STh,GStr,STh+GStr,Shuswap Complex_Late,Shuswap Complex-L,50.91737166,-119.229787,79,Current,L-09-03,SEL-09-003,1,46429,N,Fall-South Thompson,13,SThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,128-835500-00000-00000-0000-0000-000-000-000-000-000-000,1.29E+44
Lake Wenatchee,NA,NA,NA,NA,NA,NA,NA,NA,NA,LWe,Col,LWe+Col,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LakeWashington,NA,NA,NA,NA,NA,NA,NA,NA,NA,LW,PS,LW+PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Little,6824,31,219,LITTLE RIVER,Stream Segment,NA,SEL,50.86549159,-119.6048588,STh,GStr,STh+GStr,Shuswap Complex_Late,Shuswap Complex-L,50.91737166,-119.229787,79,Current,L-09-03,SEL-09-003,1,46228,Y,Fall-South Thompson,13,SThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,128-000000-00000-00000-0000-0000-000-000-000-000-000-000,1.28E+44
Long Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M Horsefly,6618,37,2448,HORSEFLY CHANNEL,Artificial Channel,NA,SEL,52.34,-121.4014,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,45100,N,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-635400-00000-00000-0000-0000-000-000-000-000-000-000,1.61E+44
Marble Cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mary Cove,7041,1,1830,MARY COVE CREEK,Stream,NA,SEL,52.61785937,-128.4344276,HecLow,HStr,HecLow+HStr,Mary Cove Creek,Mary Cove Creek,52.61785937,-128.4344276,1,Current,L-19-40,SEL-19-040,1,42745,N,Coastal Areas 3 to 6,22,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,915-486500-06800-00000-0000-0000-000-000-000-000-000-000,9.15E+44
Middle R,6684,4,2485,MIDDLE RIVER,Stream,NA,SEL,54.86607079,-125.1183878,MFR,GStr,MFR+GStr,Takla/Trembleur/Stuart_Summer,Takla/Trembleur/Stuart-S,54.75653928,-124.9440666,12,Current,L-06-13,SEL-06-013,1,61007,N,Summer-Late Stuart,8,MFraser,UNK,NA,Y,N,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,182-819600-63300-00000-0000-0000-000-000-000-000-000-000,1.83E+44
MiddleShuswap,6860,67,241,SHUSWAP RIVER-MIDDLE,Stream Segment,NA,SEL,50.43116687,-118.7500343,STh,GStr,STh+GStr,Shuswap Complex_Late,Shuswap Complex-L,50.91737166,-119.229787,79,Current,L-09-03,SEL-09-003,1,46440,Y,Fall-South Thompson,13,SThom,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,128-835500-00000-00000-0000-0000-000-000-000-000-000-000,1.29E+44
Mikado Cr,7044,1,1923,MIKADO LAKE CREEK,Stream,NA,SEL,53.43178997,-129.8264685,HecLow,HStr,HecLow+HStr,Mikado,Mikado,53.43178997,-129.8264685,1,Current,L-19-43,SEL-19-043,1,44235,N,Coastal Areas 3 to 6,22,NCCoast,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,915-560200-23700-00000-0000-0000-000-000-000-000-000-000,9.16E+44
Mitchell,6642,61,293,MITCHELL RIVER,Stream,NA,SEL,52.77875315,-120.8037479,MFR,GStr,MFR+GStr,Quesnel_Summer,Quesnel-S,52.60459731,-120.9086453,98,Current,L-06-10,SEL-06-010,1,46913,Y,Summer-Quesnel,10,MFraser,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,160-738500-00000-00000-0000-0000-000-000-000-000-000-000,1.61E+44
Muchalat,6944,2,1361,MUCHALAT RIVER,Stream,NA,SEL,49.84395535,-126.0966488,WVI,WVI,WVI+WVI,Muchalat,Muchalat,49.80203542,-126.1282994,3,Current,L-13-17,SEL-13-017,1,41360,N,WCVI-Other,18,NWVI,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,930-511600-42100-00000-0000-0000-000-000-000-000-000-000,9.31E+44
Naden,6981,1,1559,NADEN RIVER,Stream,NA,SEL,53.93287578,-132.682281,HG,NQCI,HG+NQCI,Marian/Eden<<VREQ[Bin]>>,Marian/Eden,53.93287578,-132.682281,1,VREQ[Bin],L-17-05,SEL-17-005,1,40960,Y,Haida Gwaii,26,HaidaGwaii,N,NA,Y,Y,Conservation Unit Data-Rev. 4-August 2013,18-Jul-16,940-665100-00000-00000-0000-0000-000-000-000-000-000-000,9.41E+44
