"","Year","agent","posdet"
"99",2010,"pa_min",21
"100",2010,"pa_pse",4
"101",2010,"pa_ther",21
"102",2010,"pch_sal",0
"103",2010,"Picorna2_virus",0
"104",2010,"prv",1
"105",2010,"pspv",19
"106",2010,"Qin",1
"107",2010,"re_sal",0
"108",2010,"Rhabdo3_virus",2
"109",2010,"rib",21
"110",2010,"richness",21
"111",2010,"rlo",4
"112",2010,"sch",12
"113",2010,"smallUK",0
"114",2010,"sp_des",2
"115",2010,"te_bry",1
"116",2010,"te_mar",0
"117",2010,"ven",10
"118",2011,"arena1",0
"119",2011,"arena2",10
"120",2011,"ascv",0
"121",2011,"c_b_cys",19
"122",2011,"ce_sha",5
"123",2011,"Circo.virus",1
"124",2011,"cr_sal",0
"125",2011,"de_sal",1
"126",2011,"fa_mar",4
"127",2011,"fl_psy",0
"128",2011,"ic_hof",2
"129",2011,"ic_mul",2
"130",2011,"IcD",15
"131",2011,"ihnv",2
"132",2011,"ku_thy",3
"133",2011,"lo_sal",9
"134",2011,"mo_vis",0
"135",2011,"my_arc",17
"136",2011,"nu_sal",0
"137",2011,"pa_kab",9
"138",2011,"pa_min",11
"139",2011,"pa_pse",9
"140",2011,"pa_ther",17
"141",2011,"pch_sal",0
"142",2011,"Picorna2_virus",0
"143",2011,"prv",0
"144",2011,"pspv",14
"145",2011,"Qin",1
"146",2011,"re_sal",0
"147",2011,"Rhabdo3_virus",3
"148",2011,"rib",20
"149",2011,"richness",20
"150",2011,"rlo",2
"151",2011,"sch",14
"152",2011,"smallUK",3
"153",2011,"sp_des",0
"154",2011,"te_bry",1
"155",2011,"te_mar",0
"156",2011,"ven",6
"157",2012,"arena1",0
"158",2012,"arena2",6
"159",2012,"ascv",0
"160",2012,"c_b_cys",13
"161",2012,"ce_sha",6
"162",2012,"Circo.virus",0
"163",2012,"cr_sal",0
"164",2012,"de_sal",4
"165",2012,"fa_mar",3
"166",2012,"fl_psy",0
"167",2012,"ic_hof",6
"168",2012,"ic_mul",2
"169",2012,"IcD",6
"170",2012,"ihnv",0
"171",2012,"ku_thy",1
"172",2012,"lo_sal",1
"173",2012,"mo_vis",1
"174",2012,"my_arc",14
"175",2012,"nu_sal",1
"176",2012,"pa_kab",7
"177",2012,"pa_min",14
"178",2012,"pa_pse",7
"179",2012,"pa_ther",14
"180",2012,"pch_sal",0
"181",2012,"Picorna2_virus",0
"182",2012,"prv",1
"183",2012,"pspv",10
"184",2012,"Qin",0
"185",2012,"re_sal",0
"186",2012,"Rhabdo3_virus",2
"187",2012,"rib",18
"188",2012,"richness",18
"189",2012,"rlo",2
"190",2012,"sch",7
"191",2012,"smallUK",0
"192",2012,"sp_des",4
"193",2012,"te_bry",1
"194",2012,"te_mar",1
"195",2012,"ven",5
"196",2013,"arena1",0
"197",2013,"arena2",11
"198",2013,"ascv",2
"199",2013,"c_b_cys",21
"200",2013,"ce_sha",10
"201",2013,"Circo.virus",0
"202",2013,"cr_sal",1
"203",2013,"de_sal",4
"204",2013,"fa_mar",3
"205",2013,"fl_psy",7
"206",2013,"ic_hof",14
"207",2013,"ic_mul",12
"208",2013,"IcD",14
"209",2013,"ihnv",0
"210",2013,"ku_thy",3
"211",2013,"lo_sal",10
"212",2013,"mo_vis",3
"213",2013,"my_arc",20
"214",2013,"nu_sal",1
"215",2013,"pa_kab",19
"216",2013,"pa_min",20
"217",2013,"pa_pse",17
"218",2013,"pa_ther",21
"219",2013,"pch_sal",0
"220",2013,"Picorna2_virus",0
"221",2013,"prv",3
"222",2013,"pspv",18
"223",2013,"Qin",0
"224",2013,"re_sal",0
"225",2013,"Rhabdo3_virus",0
"226",2013,"rib",21
"227",2013,"richness",21
"228",2013,"rlo",6
"229",2013,"sch",18
"230",2013,"smallUK",0
"231",2013,"sp_des",5
"232",2013,"te_bry",6
"233",2013,"te_mar",1
"234",2013,"ven",17
"235",2014,"arena1",1
"236",2014,"arena2",11
"237",2014,"ascv",0
"238",2014,"c_b_cys",19
"239",2014,"ce_sha",5
"240",2014,"Circo.virus",0
"241",2014,"cr_sal",0
"242",2014,"de_sal",0
"243",2014,"fa_mar",4
"244",2014,"fl_psy",0
"245",2014,"ic_hof",10
"246",2014,"ic_mul",4
"247",2014,"IcD",13
"248",2014,"ihnv",1
"249",2014,"ku_thy",3
"250",2014,"lo_sal",15
"251",2014,"mo_vis",0
"252",2014,"my_arc",17
"253",2014,"nu_sal",0
"254",2014,"pa_kab",14
"255",2014,"pa_min",17
"256",2014,"pa_pse",10
"257",2014,"pa_ther",18
"258",2014,"pch_sal",0
"259",2014,"Picorna2_virus",0
"260",2014,"prv",0
"261",2014,"pspv",15
"262",2014,"Qin",0
"263",2014,"re_sal",0
"264",2014,"Rhabdo3_virus",1
"265",2014,"rib",21
"266",2014,"richness",21
"267",2014,"rlo",2
"268",2014,"sch",8
"269",2014,"smallUK",3
"270",2014,"sp_des",2
"271",2014,"te_bry",5
"272",2014,"te_mar",2
"273",2014,"ven",15
"274",2015,"arena1",0
"275",2015,"arena2",15
"276",2015,"ascv",0
"277",2015,"c_b_cys",17
"278",2015,"ce_sha",14
"279",2015,"Circo.virus",2
"280",2015,"cr_sal",0
"281",2015,"de_sal",0
"282",2015,"fa_mar",7
"283",2015,"fl_psy",3
"284",2015,"ic_hof",5
"285",2015,"ic_mul",11
"286",2015,"IcD",17
"287",2015,"ihnv",0
"288",2015,"ku_thy",4
"289",2015,"lo_sal",9
"290",2015,"mo_vis",0
"291",2015,"my_arc",16
"292",2015,"nu_sal",1
"293",2015,"pa_kab",15
"294",2015,"pa_min",18
"295",2015,"pa_pse",6
"296",2015,"pa_ther",18
"297",2015,"pch_sal",0
"298",2015,"Picorna2_virus",1
"299",2015,"prv",0
"300",2015,"pspv",12
"301",2015,"Qin",3
"302",2015,"re_sal",0
"303",2015,"Rhabdo3_virus",0
"304",2015,"rib",18
"305",2015,"richness",18
"306",2015,"rlo",4
"307",2015,"sch",12
"308",2015,"smallUK",0
"309",2015,"sp_des",5
"310",2015,"te_bry",9
"311",2015,"te_mar",12
"312",2015,"ven",8
"313",2016,"arena1",0
"314",2016,"arena2",7
"315",2016,"ascv",0
"316",2016,"c_b_cys",8
"317",2016,"ce_sha",3
"318",2016,"Circo.virus",0
"319",2016,"cr_sal",0
"320",2016,"de_sal",4
"321",2016,"fa_mar",3
"322",2016,"fl_psy",2
"323",2016,"ic_hof",5
"324",2016,"ic_mul",2
"325",2016,"IcD",7
"326",2016,"ihnv",1
"327",2016,"ku_thy",1
"328",2016,"lo_sal",0
"329",2016,"mo_vis",0
"330",2016,"my_arc",8
"331",2016,"nu_sal",0
"332",2016,"pa_kab",0
"333",2016,"pa_min",8
"334",2016,"pa_pse",5
"335",2016,"pa_ther",8
"336",2016,"pch_sal",0
"337",2016,"Picorna2_virus",0
"338",2016,"prv",0
"339",2016,"pspv",6
"340",2016,"Qin",0
"341",2016,"re_sal",0
"342",2016,"Rhabdo3_virus",0
"343",2016,"rib",8
"344",2016,"richness",8
"345",2016,"rlo",2
"346",2016,"sch",5
"347",2016,"smallUK",1
"348",2016,"sp_des",0
"349",2016,"te_bry",2
"350",2016,"te_mar",2
"351",2016,"ven",0
"352",2017,"arena1",0
"353",2017,"arena2",3
"354",2017,"ascv",0
"355",2017,"c_b_cys",3
"356",2017,"ce_sha",0
"357",2017,"Circo.virus",2
"358",2017,"cr_sal",0
"359",2017,"de_sal",0
"360",2017,"fa_mar",0
"361",2017,"fl_psy",0
"362",2017,"ic_hof",0
"363",2017,"ic_mul",0
"364",2017,"IcD",3
"365",2017,"ihnv",0
"366",2017,"ku_thy",0
"367",2017,"lo_sal",1
"368",2017,"mo_vis",0
"369",2017,"my_arc",3
"370",2017,"nu_sal",0
"371",2017,"pa_kab",2
"372",2017,"pa_min",2
"373",2017,"pa_pse",2
"374",2017,"pa_ther",2
"375",2017,"pch_sal",0
"376",2017,"Picorna2_virus",0
"377",2017,"prv",0
"378",2017,"pspv",1
"379",2017,"Qin",2
"380",2017,"re_sal",0
"381",2017,"Rhabdo3_virus",0
"382",2017,"rib",3
"383",2017,"richness",3
"384",2017,"rlo",0
"385",2017,"sch",0
"386",2017,"smallUK",0
"387",2017,"sp_des",0
"388",2017,"te_bry",1
"389",2017,"te_mar",0
"390",2017,"ven",0
"391",2018,"arena1",0
"392",2018,"arena2",3
"393",2018,"ascv",0
"394",2018,"c_b_cys",11
"395",2018,"ce_sha",3
"396",2018,"Circo.virus",0
"397",2018,"cr_sal",0
"398",2018,"de_sal",0
"399",2018,"fa_mar",0
"400",2018,"fl_psy",1
"401",2018,"ic_hof",3
"402",2018,"ic_mul",0
"403",2018,"IcD",5
"404",2018,"ihnv",0
"405",2018,"ku_thy",0
"406",2018,"lo_sal",3
"407",2018,"mo_vis",0
"408",2018,"my_arc",9
"409",2018,"nu_sal",0
"410",2018,"pa_kab",5
"411",2018,"pa_min",9
"412",2018,"pa_pse",5
"413",2018,"pa_ther",11
"414",2018,"pch_sal",0
"415",2018,"Picorna2_virus",0
"416",2018,"prv",0
"417",2018,"pspv",6
"418",2018,"Qin",0
"419",2018,"re_sal",1
"420",2018,"Rhabdo3_virus",0
"421",2018,"rib",13
"422",2018,"richness",13
"423",2018,"rlo",4
"424",2018,"sch",2
"425",2018,"smallUK",0
"426",2018,"sp_des",0
"427",2018,"te_bry",0
"428",2018,"te_mar",0
"429",2018,"ven",0
